競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),1着,2着,3着,連結,人気,A=B-abcd判定,A=B-CD判定,A-BCD-BCD判定,B-ACD-ACD判定,ABCD-ABCD-ABCD判定,ABCボックス判定,ABDボックス判定,C=B-AD判定,C=B-A判定,c=b-a判定
いわき平競輪,2R,11:40,初日,Ｓ,7-4,7-4-9,3,3-4-2,1,0.42,0.34,0.32,0.18,0.58,48.91,9,9-4-7,22150,C,B,A,C-B-A,88,不的中,不的中,不的中,不的中,的中,的中,不的中,的中,的中,不的中
広島競輪,3R,11:52,2日目,Ａ,1-7,1-7-5,3,7-3-5,4,0.49,0.15,0.14,0.09,0.81,62.12,7,7-3-6,12780,B,D,FALSE,B-D-FALSE,32,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,3R,12:04,初日,Ｓ,9-3,9-3-1,5,5-1-3,2,0.41,0.24,0.24,0.21,0.49,46.96,9,2-4-1,20580,d,FALSE,C,d-FALSE-C,61,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,4R,12:17,2日目,Ａ,1-3,1-3-7,4,2-4-7,1,0.36,0.36,0.19,0.14,0.61,45.41,7,1-3-6,3600,A,B,FALSE,A-B-FALSE,10,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,4R,12:30,初日,Ｓ,1-7,1-7-5,3,9-3-5,4,0.39,0.32,0.16,0.11,0.71,52.18,9,7-1-9,490,B,A,a,B-A-a,1,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,5R,12:43,2日目,Ａ,1-2,1-2-4,5,5-2-4,7,0.3,0.14,0.12,0.12,0.61,44.11,7,1-5-7,8690,A,D,d,A-D-d,26,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,5R,12:56,初日,Ｓ,3-7,3-7-9,6,9-2-1,5,0.48,0.43,0.24,0.19,0.59,52.86,9,5-7-3,9730,d,B,A,d-B-A,23,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,6R,13:09,2日目,Ｓ,3-1,3-1-2,7,7-5-2,1,0.34,0.33,0.24,0.23,0.32,34.81,7,7-5-2,10410,D,b,C,D-b-C,43,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,6R,13:22,初日,Ｓ,1-5,1-5-2,3,2-5-3,7,0.3,0.28,0.24,0.24,0.19,30.14,9,8-5-2,55940,FALSE,B,C,FALSE-B-C,163,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,7R,13:35,2日目,Ｓ,1-7,1-7-4,2,4-5-3,7,0.43,0.14,0.14,0.13,0.69,54.41,7,2-1-3,12620,D,A,c,D-A-c,45,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,7R,13:48,初日,Ｓ,1-2,1-2-7,5,5-2-1,7,0.4,0.32,0.2,0.13,0.68,52.5,9,1-7-3,1770,A,C,FALSE,A-C-FALSE,3,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,8R,14:02,2日目,Ｓ,3-1,3-1-7,2,5-4-1,7,0.36,0.24,0.21,0.17,0.54,43.2,7,2-7-5,12860,D,C,a,D-C-a,50,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,8R,14:16,初日,Ｓ,9-3,9-3-2,7,1-2-4,7,0.45,0.43,0.22,0.19,0.58,51.33,9,1-7-2,10590,a,D,C,a-D-C,28,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,9R,14:30,2日目,Ｓ,1-7,1-7-2,3,4-7-2,1,0.5,0.31,0.29,0.2,0.6,52.73,7,4-6-2,4900,a,FALSE,C,a-FALSE-C,10,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,9R,14:44,初日,Ｓ,7-3,7-3-2,9,2-9-5,3,0.47,0.39,0.28,0.22,0.52,50.68,9,3-2-9,6520,B,C,D,B-C-D,14,不的中,不的中,不的中,的中,的中,不的中,不的中,的中,不的中,不的中
広島競輪,10R,14:58,2日目,Ｓ,5-1,5-1-3,4,2-5-4,6,0.35,0.28,0.23,0.14,0.59,43.03,7,3-1-2,12770,C,B,a,C-B-a,57,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,的中,不的中
いわき平競輪,10R,15:12,初日,Ｓ,1-9,1-9-2,7,2-7-3,5,0.42,0.34,0.32,0.15,0.63,50.82,9,9-2-1,3850,B,C,A,B-C-A,9,不的中,不的中,不的中,的中,的中,的中,不的中,的中,不的中,不的中
広島競輪,11R,15:28,2日目,Ｓ,1-5,1-5-2,3,5-2-7,4,0.45,0.19,0.14,0.13,0.72,56.21,7,1-5-4,5010,A,B,d,A-B-d,12,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,11R,15:44,初日,Ｓ,9-1,9-1-2,3,7-1-9,3,0.36,0.17,0.16,0.16,0.57,47.48,9,2-9-5,3790,C,A,FALSE,C-A-FALSE,11,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,1R,15:54,2日目,Ａ,7-5,7-5-3,2,5-3-4,2,0.3,0.16,0.16,0.12,0.59,42.75,7,3-7-5,1760,C,A,B,C-A-B,5,不的中,不的中,不的中,不的中,的中,的中,不的中,不的中,不的中,不的中
広島競輪,12R,16:02,2日目,Ｓ,1-2,1-2-4,3,2-1-7,3,0.46,0.23,0.1,0.09,0.81,59.94,7,5-2-1,1300,FALSE,B,A,FALSE-B-A,4,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,1R,16:06,初日,チ,3-2,3-2-7,5,5-7-4,3,0.47,0.32,0.19,0.11,0.76,57.67,7,3-7-5,1190,A,C,D,A-C-D,4,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,2R,16:14,2日目,Ａ,7-2,7-2-1,5,5-2-7,4,0.29,0.21,0.2,0.16,0.44,36.34,7,7-1-3,10130,A,C,FALSE,A-C-FALSE,45,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,12R,16:20,初日,Ｓ,3-5,3-5-2,1,1-5-8,9,0.48,0.42,0.17,0.17,0.65,55.38,9,5-4-8,43760,B,FALSE,c,B-FALSE-c,139,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,2R,16:26,初日,チ,1-4,1-4-7,2,7-2-5,1,0.22,0.21,0.14,0.11,0.5,34.64,7,4-2-1,1680,B,D,A,B-D-A,4,不的中,不的中,不的中,的中,的中,不的中,的中,不的中,不的中,不的中
松戸競輪,3R,16:35,2日目,Ａ,5-4,5-4-2,1,2-3-7,1,0.42,0.23,0.12,0.11,0.74,54.78,7,5-4-1,3160,A,B,D,A-B-D,8,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
玉野競輪,3R,16:46,初日,チ,3-5,3-5-7,2,5-2-4,1,0.24,0.2,0.14,0.1,0.58,38.22,7,7-2-3,360,C,D,A,C-D-A,1,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,4R,16:58,2日目,Ａ,5-2,5-2-7,1,1-7-5,3,0.5,0.32,0.13,0.13,0.75,58.99,7,3-6-2,6440,d,FALSE,B,d-FALSE-B,17,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,4R,17:10,初日,チ,5-4,5-4-1,3,5-4-3,1,0.17,0.16,0.09,0.09,0.49,31.17,7,4-2-6,1850,B,FALSE,FALSE,B-FALSE-FALSE,6,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,5R,17:23,2日目,Ａ,2-4,2-4-1,3,1-2-4,5,0.16,0.15,0.11,0.09,0.43,28.04,7,2-4-1,62050,A,B,C,A-B-C,46,的中,的中,的中,不的中,的中,的中,不的中,不的中,不的中,的中
玉野競輪,5R,17:36,初日,ガ,2-1,2-1-6,5,1-6-5,2,0.13,0.1,0.08,0.06,0.53,30.21,7,3-1-2,610,FALSE,B,A,FALSE-B-A,2,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,6R,17:49,2日目,Ｓ,4-2,4-2-3,1,2-3-4,1,0.45,0.38,0.33,0.1,0.78,55.53,7,3-4-6,1940,C,A,FALSE,C-A-FALSE,5,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,6R,18:02,初日,ガ,5-1,5-1-6,3,5-6-3,1,0.2,0.1,0.08,0.07,0.65,40.74,7,6-5-7,24580,C,A,FALSE,C-A-FALSE,42,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,7R,18:15,2日目,Ｓ,7-2,7-2-4,1,4-1-7,3,0.46,0.39,0.24,0.16,0.64,52.26,7,7-1-5,29890,A,D,FALSE,A-D-FALSE,69,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,7R,18:28,初日,Ａ,5-2,5-2-7,1,2-5-4,7,0.35,0.3,0.23,0.15,0.58,44.48,7,7-1-2,8760,C,D,B,C-D-B,32,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,8R,18:41,2日目,Ｓ,3-2,3-2-4,6,4-2-7,1,0.36,0.26,0.2,0.11,0.68,48.01,7,4-5-7,107800,C,FALSE,c,C-FALSE-c,162,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,8R,18:54,初日,Ａ,1-5,1-5-2,3,5-7-4,2,0.45,0.26,0.17,0.09,0.81,58.57,7,5-1-2,1240,B,A,C,B-A-C,3,的中,的中,不的中,的中,的中,的中,不的中,不的中,不的中,不的中
松戸競輪,9R,19:07,2日目,Ｓ,2-1,2-1-3,4,4-1-3,5,0.36,0.15,0.12,0.12,0.66,49.44,7,2-1-4,1760,A,B,D,A-B-D,3,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
玉野競輪,9R,19:20,初日,Ａ,2-1,2-1-7,4,1-4-2,3,0.42,0.42,0.34,0.23,0.45,43.61,7,4-1-6,4670,D,B,FALSE,D-B-FALSE,15,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,10R,19:34,2日目,Ｓ,2-7,2-7-5,3,5-7-3,4,0.44,0.34,0.32,0.12,0.72,53.11,7,7-5-3,5510,B,C,D,B-C-D,16,不的中,不的中,不的中,的中,的中,不的中,不的中,的中,不的中,不的中
玉野競輪,10R,19:48,初日,Ａ,4-2,4-2-3,1,3-4-1,6,0.36,0.35,0.22,0.2,0.43,37.81,7,4-2-6,1150,A,B,d,A-B-d,5,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,11R,20:02,2日目,Ｓ,3-5,3-5-4,7,3-7-5,1,0.48,0.46,0.29,0.16,0.67,53.66,7,3-5-6,1690,A,B,FALSE,A-B-FALSE,4,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,11R,20:16,初日,Ａ,3-5,3-5-2,4,1-2-4,7,0.49,0.28,0.25,0.19,0.62,52.99,7,7-1-3,16210,d,a,A,d-a-A,53,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
松戸競輪,12R,20:30,2日目,Ｓ,2-4,2-4-3,1,3-1-5,4,0.41,0.32,0.11,0.1,0.76,54.42,7,2-4-1,1070,A,B,D,A-B-D,5,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
岸和田競輪,1R,20:40,最終日,チ,4-5,4-5-3,1,5-1-2,3,0.31,0.31,0.17,0.11,0.63,42.95,7,5-4-1,480,B,A,D,B-A-D,1,的中,的中,不的中,的中,的中,不的中,的中,不的中,不的中,不的中
別府競輪,1R,20:50,最終日,ガ,2-1,2-1-3,5,5-4-3,6,0.44,0.15,0.11,0.1,0.77,58.54,7,3-2-1,4580,C,A,B,C-A-B,18,不的中,不的中,不的中,不的中,的中,的中,不的中,不的中,不的中,不的中
岸和田競輪,2R,21:00,最終日,チ,3-1,3-1-2,6,5-1-6,3,0.32,0.28,0.28,0.13,0.59,41.51,7,2-5-3,4640,C,a,A,C-a-A,15,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
別府競輪,2R,21:10,最終日,Ａ,1-3,1-3-2,6,2-3-7,4,0.39,0.35,0.15,0.08,0.8,54.22,7,3-1-2,1390,B,A,C,B-A-C,3,的中,的中,不的中,的中,的中,的中,不的中,不的中,不的中,不的中
岸和田競輪,3R,21:20,最終日,チ,3-5,3-5-4,2,3-1-2,5,0.24,0.24,0.14,0.09,0.62,38.68,7,3-4-2,2160,A,C,D,A-C-D,3,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
別府競輪,3R,21:30,最終日,Ａ,1-5,1-5-4,2,5-3-6,1,0.47,0.37,0.36,0.34,0.29,42.03,7,7-5-4,11700,FALSE,B,C,FALSE-B-C,38,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
岸和田競輪,4R,21:40,最終日,Ａ,1-4,1-4-2,3,4-3-5,6,0.35,0.34,0.24,0.23,0.34,36.72,7,1-2-4,3560,A,C,B,A-C-B,13,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
別府競輪,4R,21:50,最終日,Ａ,5-1,5-1-2,4,5-2-7,4,0.34,0.28,0.1,0.07,0.79,51.33,7,2-5-4,5930,C,A,D,C-A-D,24,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
岸和田競輪,5R,22:00,最終日,Ａ,1-2,1-2-4,5,4-3-5,2,0.48,0.31,0.15,0.1,0.79,59.19,7,4-2-1,3060,C,B,A,C-B-A,14,不的中,不的中,不的中,不的中,的中,的中,不的中,的中,的中,不的中
別府競輪,5R,22:10,最終日,Ａ,1-2,1-2-3,5,3-5-4,2,0.38,0.22,0.17,0.16,0.57,46.61,7,1-2-5,1920,A,B,D,A-B-D,3,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
岸和田競輪,6R,22:20,最終日,Ａ,2-1,2-1-4,3,2-5-4,3,0.3,0.19,0.11,0.08,0.74,47.87,7,2-1-5,2420,A,B,b,A-B-b,4,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
別府競輪,6R,22:30,最終日,Ａ,2-1,2-1-3,4,3-5-4,2,0.42,0.3,0.29,0.28,0.33,41.34,7,2-3-1,1590,A,C,B,A-C-B,3,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
岸和田競輪,7R,22:40,最終日,Ａ,4-2,4-2-1,6,5-3-1,7,0.41,0.33,0.15,0.11,0.72,52.43,7,1-2-5,16330,C,B,a,C-B-a,56,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,的中,不的中
別府競輪,7R,22:50,最終日,Ａ,1-3,1-3-2,7,5-4-2,1,0.26,0.26,0.17,0.12,0.54,37.91,7,1-2-4,14940,A,C,b,A-C-b,38,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
岸和田競輪,8R,23:00,最終日,チ,1-5,1-5-4,2,5-6-2,1,0.46,0.16,0.16,0.16,0.65,54.81,7,5-1-7,10690,B,A,FALSE,B-A-FALSE,41,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
別府競輪,8R,23:10,最終日,ガ,2-3,2-3-4,5,4-3-5,6,0.14,0.13,0.09,0.06,0.56,31.64,7,1-3-2,970,FALSE,B,A,FALSE-B-A,3,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
岸和田競輪,9R,23:20,最終日,Ａ,2-4,2-4-1,3,4-2-3,5,0.28,0.22,0.21,0.16,0.43,35.4,7,5-7-3,228250,d,FALSE,D,d-FALSE-D,205,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
別府競輪,9R,23:30,最終日,Ａ,6-1,6-1-4,2,4-6-2,5,0.32,0.29,0.15,0.14,0.56,42.1,7,2-1-3,24070,D,B,FALSE,D-B-FALSE,88,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
