競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数
平塚競輪,4R,12:16,5日目,Ｓ,"=""1-7""","=""1-7-3""",6,"=""1-7-3""",2,0.75,0.63,0.5,0.31,0.58,64.93,9
岸和田競輪,5R,12:34,2日目,Ａ,"=""1-3""","=""1-3-7""",4,"=""1-4-3""",7,0.91,0.44,0.43,0.33,0.64,75.87,7
平塚競輪,5R,12:47,5日目,Ｓ,"=""1-7""","=""1-7-2""",5,"=""1-7-9""",2,0.68,0.64,0.48,0.31,0.55,59.69,9
岸和田競輪,6R,12:59,2日目,ガ,"=""5-2""","=""5-2-6""",1,"=""5-2-6""",1,0.96,0.74,0.56,0.52,0.46,71.57,7
平塚競輪,6R,13:18,5日目,Ｓ,"=""1-7""","=""1-7-2""",9,"=""1-7-2""",5,0.81,0.55,0.52,0.51,0.38,63.83,9
岸和田競輪,7R,13:25,2日目,ガ,"=""2-3""","=""2-3-1""",7,"=""2-3-7""",6,0.97,0.92,0.59,0.57,0.41,68.02,7
岸和田競輪,8R,13:47,2日目,Ｓ,"=""3-1""","=""3-1-5""",7,"=""3-1-7""",6,0.59,0.55,0.42,0.24,0.59,55.6,7
平塚競輪,7R,13:55,5日目,Ｓ,"=""3-2""","=""3-2-1""",5,"=""3-2-5""",7,0.85,0.58,0.49,0.47,0.45,67.2,9
岸和田競輪,9R,14:16,2日目,Ｓ,"=""7-5""","=""7-5-2""",3,"=""7-5-2""",4,0.49,0.42,0.35,0.29,0.41,44.38,7
平塚競輪,8R,14:32,5日目,Ｓ,"=""3-5""","=""3-5-2""",1,"=""5-3-4""",1,0.86,0.66,0.46,0.41,0.52,70.59,9
岸和田競輪,10R,14:51,2日目,Ｓ,"=""2-5""","=""2-5-1""",4,"=""2-5-6""",1,0.79,0.62,0.38,0.33,0.58,66.43,7
平塚競輪,9R,15:09,5日目,Ｓ,"=""7-4""","=""7-4-3""",1,"=""7-1-4""",3,0.87,0.46,0.45,0.44,0.49,70.24,9
岸和田競輪,11R,15:29,2日目,Ｓ,"=""1-5""","=""1-5-2""",7,"=""1-5-3""",6,0.76,0.54,0.48,0.41,0.45,61.47,7
平塚競輪,10R,15:48,5日目,Ｓ,"=""2-1""","=""2-1-9""",3,"=""2-1-9""",5,0.87,0.56,0.4,0.34,0.61,74.16,9
松阪競輪,1R,15:55,2日目,Ａ,"=""3-5""","=""3-5-2""",7,"=""3-6-7""",2,0.84,0.49,0.22,0.22,0.74,76.11,7
京王閣競輪,1R,16:05,最終日,チ,"=""1-4""","=""1-4-6""",2,"=""1-4-6""",2,0.61,0.41,0.35,0.29,0.52,54.9,6
岸和田競輪,12R,16:12,2日目,Ｓ,"=""5-1""","=""5-1-4""",3,"=""5-1-7""",2,0.72,0.57,0.35,0.21,0.71,67.2,7
松阪競輪,2R,16:19,2日目,Ａ,"=""4-6""","=""4-6-1""",3,"=""4-6-3""",2,0.8,0.76,0.44,0.4,0.5,63.66,7
平塚競輪,11R,16:30,5日目,Ｓ,"=""1-3""","=""1-3-2""",5,"=""1-3-5""",2,0.87,0.67,0.49,0.47,0.46,68.27,9
京王閣競輪,2R,16:37,最終日,チ,"=""4-1""","=""4-1-2""",5,"=""4-1-2""",3,0.63,0.33,0.3,0.2,0.68,61.67,6
松阪競輪,3R,16:44,2日目,Ａ,"=""3-1""","=""3-1-5""",2,"=""3-1-2""",4,0.86,0.84,0.5,0.4,0.53,67.14,7
京王閣競輪,3R,17:02,最終日,チ,"=""7-2""","=""7-2-4""",6,"=""7-6-1""",3,0.64,0.38,0.36,0.32,0.5,56.33,7
松阪競輪,4R,17:09,2日目,Ａ,"=""5-3""","=""5-3-2""",1,"=""5-3-1""",4,0.93,0.67,0.46,0.32,0.66,76.55,7
京王閣競輪,4R,17:25,最終日,ガ,"=""6-4""","=""6-4-5""",3,"=""6-4-5""",3,0.79,0.43,0.29,0.25,0.68,70.79,7
松阪競輪,5R,17:34,2日目,Ａ,"=""1-2""","=""1-2-5""",4,"=""1-4-2""",5,0.8,0.49,0.47,0.44,0.45,63.29,7
京王閣競輪,5R,17:48,最終日,Ａ,"=""5-4""","=""5-4-2""",1,"=""5-2-4""",1,0.82,0.36,0.33,0.26,0.68,72.83,7
松阪競輪,6R,17:59,2日目,ガ,"=""3-6""","=""3-6-5""",2,"=""3-6-5""",2,0.97,0.88,0.5,0.48,0.51,72.85,7
京王閣競輪,6R,18:11,最終日,Ａ,"=""1-5""","=""1-5-3""",7,"=""1-5-3""",7,0.89,0.31,0.25,0.24,0.73,80.15,7
松阪競輪,7R,18:24,2日目,ガ,"=""4-6""","=""4-6-1""",2,"=""4-6-1""",2,0.96,0.87,0.38,0.28,0.71,78.88,7
京王閣競輪,7R,18:35,最終日,チ,"=""2-1""","=""2-1-3""",4,"=""1-2-3""",7,0.95,0.85,0.65,0.4,0.58,74.67,7
松阪競輪,8R,18:49,2日目,Ｓ,"=""2-4""","=""2-4-5""",1,"=""2-5-6""",1,0.61,0.29,0.27,0.23,0.62,59.37,6
京王閣競輪,8R,19:00,最終日,ガ,"=""1-7""","=""1-7-2""",3,"=""1-7-2""",5,0.96,0.8,0.8,0.64,0.33,66.05,7
松阪競輪,9R,19:14,2日目,Ｓ,"=""2-1""","=""2-1-7""",4,"=""2-1-6""",3,0.74,0.6,0.44,0.23,0.69,67.82,7
京王閣競輪,9R,19:25,最終日,Ａ,"=""1-2""","=""1-2-3""",7,"=""2-1-6""",7,0.72,0.69,0.54,0.46,0.37,55.65,7
松阪競輪,10R,19:39,2日目,Ｓ,"=""2-7""","=""2-7-5""",1,"=""2-7-1""",5,0.74,0.46,0.46,0.28,0.63,66.25,7
京王閣競輪,10R,19:50,最終日,Ａ,"=""5-1""","=""5-1-3""",4,"=""5-1-3""",4,0.83,0.68,0.34,0.33,0.6,70.03,7
松阪競輪,11R,20:04,2日目,Ｓ,"=""2-3""","=""2-3-5""",4,"=""2-3-4""",1,0.9,0.56,0.36,0.35,0.61,74.91,7
京王閣競輪,11R,20:16,最終日,Ａ,"=""2-7""","=""2-7-5""",3,"=""7-2-1""",3,0.95,0.57,0.37,0.34,0.64,76.49,7
松阪競輪,12R,20:30,2日目,Ｓ,"=""1-4""","=""1-4-5""",7,"=""1-4-5""",2,0.74,0.46,0.35,0.29,0.61,66.01,7
弥彦競輪,1R,20:40,2日目,ガ,"=""1-2""","=""1-2-4""",3,"=""1-2-3""",4,0.95,0.7,0.58,0.57,0.4,67.51,7
高知競輪,1R,20:50,2日目,ガ,"=""1-2""","=""1-2-5""",3,"=""1-2-3""",4,0.85,0.75,0.63,0.46,0.46,64.6,7
弥彦競輪,2R,21:00,2日目,ガ,"=""1-2""","=""1-2-4""",3,"=""1-2-3""",4,0.97,0.69,0.66,0.62,0.36,67.94,7
高知競輪,2R,21:10,2日目,ガ,"=""1-2""","=""1-2-5""",3,"=""1-2-3""",4,0.9,0.85,0.52,0.46,0.49,67.86,7
弥彦競輪,3R,21:20,2日目,Ａ,"=""1-2""","=""1-2-4""",7,"=""1-7-4""",2,0.72,0.38,0.23,0.16,0.78,71.42,7
高知競輪,3R,21:30,2日目,ガ,"=""1-2""","=""1-2-5""",6,"=""1-2-3""",4,0.96,0.75,0.68,0.53,0.45,68.95,7
弥彦競輪,4R,21:40,2日目,Ａ,"=""1-6""","=""1-6-5""",2,"=""1-5-6""",2,0.61,0.27,0.26,0.21,0.66,62.69,7
高知競輪,4R,21:50,2日目,Ａ,"=""1-2""","=""1-2-5""",3,"=""1-2-7""",4,0.73,0.56,0.34,0.28,0.62,65.2,7
弥彦競輪,5R,22:00,2日目,Ａ,"=""1-5""","=""1-5-4""",3,"=""1-2-3""",7,0.76,0.29,0.21,0.2,0.74,73.03,7
高知競輪,5R,22:10,2日目,Ａ,"=""1-4""","=""1-4-2""",3,"=""1-2-7""",4,0.72,0.45,0.43,0.17,0.76,69.08,7
弥彦競輪,6R,22:20,2日目,Ａ,"=""1-3""","=""1-3-4""",6,"=""1-2-3""",6,0.53,0.29,0.22,0.19,0.63,56.74,7
高知競輪,6R,22:30,2日目,Ａ,"=""1-2""","=""1-2-5""",4,"=""1-2-7""",6,0.9,0.49,0.23,0.21,0.77,80.65,7
弥彦競輪,7R,22:40,2日目,Ａ,"=""1-3""","=""1-3-2""",4,"=""1-2-4""",3,0.68,0.63,0.4,0.25,0.63,62.92,7
高知競輪,7R,22:50,2日目,Ａ,"=""1-4""","=""1-4-2""",5,"=""1-2-7""",5,0.4,0.38,0.34,0.21,0.46,39.82,7
弥彦競輪,8R,23:00,2日目,Ａ,"=""1-2""","=""1-2-5""",7,"=""1-2-3""",7,0.91,0.7,0.38,0.3,0.67,75.84,7
高知競輪,8R,23:10,2日目,Ａ,"=""2-1""","=""2-1-3""",4,"=""1-2-7""",3,0.78,0.53,0.45,0.17,0.78,72.61,7
弥彦競輪,9R,23:20,2日目,Ａ,"=""1-2""","=""1-2-4""",3,"=""1-2-5""",6,0.96,0.46,0.39,0.3,0.69,80.06,7
高知競輪,9R,23:30,2日目,Ａ,"=""1-3""","=""1-3-4""",5,"=""1-2-7""",4,0.91,0.44,0.32,0.29,0.68,77.7,7
