競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数
岐阜競輪,6R,13:13,最終日,ガ,"=""2-1""","=""2-1-6""","=""3-5-4""","=""6-1-2""","=""3-5-4""",0.98,0.96,0.95,0.89,0.8,0.73,,,,0.09,53.4,6
佐世保競輪,7R,13:23,2日目,Ｓ,"=""4-7""","=""4-7-1""","=""5-2-3-6""","=""4-1-2""","=""7-5-3-6""",0.88,0.82,0.81,0.79,0.78,0.78,0.53,,,0.1,49.36,7
小田原競輪,7R,13:33,初日,Ｓ,"=""2-7""","=""2-7-5""","=""1-9-3-8-4-6""","=""5-2-1""","=""7-3-9-6-4-8""",0.86,0.86,0.83,0.78,0.77,0.74,0.56,0.56,0.52,0.09,49.54,9
岐阜競輪,7R,13:43,最終日,Ａ,"=""7-1""","=""7-1-5""","=""2-4-3-6""","=""1-7-5""","=""3-2-4-6""",0.94,0.94,0.92,0.89,0.84,0.7,0.61,,,0.06,51.62,7
佐世保競輪,8R,13:53,2日目,Ｓ,"=""4-1""","=""4-1-5""","=""3-2-6-7""","=""3-4-2""","=""1-7-5-6""",0.84,0.81,0.81,0.8,0.76,0.74,0.6,,,0.04,45.02,7
小田原競輪,8R,14:03,初日,Ｓ,"=""7-9""","=""7-9-3""","=""1-2-4-6-5-8""","=""7-9-3""","=""1-5-2-6-4-8""",0.87,0.86,0.84,0.79,0.74,0.72,0.58,0.56,0.53,0.1,50.16,9
岐阜競輪,8R,14:13,最終日,Ａ,"=""4-7""","=""4-7-3""","=""1-2-5-6""","=""4-3-2""","=""7-6-5-1""",0.94,0.92,0.86,0.85,0.81,0.76,0.75,,,0.09,51.46,7
佐世保競輪,9R,14:23,2日目,Ｓ,"=""4-5""","=""4-5-1""","=""2-3-7-6""","=""5-1-2""","=""4-7-3-6""",0.83,0.81,0.81,0.79,0.76,0.75,0.57,,,0.05,45.15,7
小田原競輪,9R,14:33,初日,Ｓ,"=""1-9""","=""1-9-7""","=""3-2-5-4-8-6""","=""1-9-3""","=""7-2-5-6-8-4""",0.86,0.84,0.84,0.79,0.77,0.76,0.58,0.58,0.51,0.09,49.36,9
岐阜競輪,9R,14:43,最終日,チ,"=""5-2""","=""5-2-1""","=""7-4-3-6""","=""5-1-2""","=""3-6-4-7""",0.9,0.88,0.87,0.78,0.67,0.65,0.62,,,0.14,51.94,7
佐世保競輪,10R,14:53,2日目,Ｓ,"=""7-1""","=""7-1-5""","=""4-3-2-6""","=""1-5-4""","=""7-2-3-6""",0.84,0.84,0.83,0.78,0.75,0.72,0.52,,,0.08,46.39,7
小田原競輪,10R,15:03,初日,Ｓ,"=""2-7""","=""2-7-1""","=""3-5-9-4-8-6""","=""2-3-1""","=""7-9-5-6-8-4""",0.86,0.86,0.84,0.82,0.72,0.72,0.6,0.53,0.51,0.04,47.86,9
岐阜競輪,10R,15:13,最終日,ガ,"=""2-4""","=""2-4-6""","=""7-1-3-5""","=""6-2-4""","=""7-1-3-5""",0.98,0.96,0.94,0.89,0.79,0.7,0.54,,,0.09,55.44,7
佐世保競輪,11R,15:25,2日目,Ｓ,"=""3-1""","=""3-1-4""","=""2-5-7-6""","=""2-3-4""","=""1-7-5-6""",0.86,0.85,0.84,0.75,0.69,0.69,0.52,,,0.13,49.71,7
小田原競輪,11R,15:36,初日,Ｓ,"=""3-1""","=""3-1-9""","=""2-5-7-8-4-6""","=""3-2-1""","=""9-5-7-6-8-4""",0.88,0.84,0.81,0.79,0.75,0.72,0.58,0.55,0.54,0.1,50.99,9
岐阜競輪,11R,15:43,最終日,Ａ,"=""7-2""","=""7-2-4""","=""5-3-1-6""","=""2-7-5""","=""6-3-1-4""",0.94,0.92,0.9,0.89,0.88,0.81,0.76,,,0.06,50.52,7
いわき平競輪,1R,15:50,2日目,Ａ,"=""5-1""","=""5-1-7""","=""2-4-3-6""","=""5-7-1""","=""2-3-4-6""",0.94,0.94,0.88,0.85,0.84,0.81,0.65,,,0.1,51.82,7
佐世保競輪,12R,15:57,2日目,Ｓ,"=""7-3""","=""7-3-1""","=""4-2-5-6""","=""7-1-3""","=""4-5-2-6""",0.85,0.83,0.81,0.79,0.75,0.69,0.52,,,0.06,46.74,7
弥彦競輪,1R,16:04,最終日,Ａ,"=""4-5""","=""4-5-3""","=""1-2-7-6""","=""6-2-4""","=""5-3-1-7""",0.95,0.92,0.9,0.87,0.86,0.8,0.75,,,0.09,51.76,7
いわき平競輪,2R,16:12,2日目,Ａ,"=""1-2""","=""1-2-5""","=""7-3-6-4""","=""2-3-1""","=""5-6-4-7""",0.95,0.91,0.9,0.88,0.84,0.79,0.77,,,0.07,51.34,7
小田原競輪,12R,16:19,初日,Ｓ,"=""1-2""","=""1-2-3""","=""5-7-8-4-6-9""","=""7-2-3""","=""1-5-6-8-4-9""",0.81,0.77,0.73,0.71,0.71,0.66,0.63,0.6,0.54,0.12,47.63,9
弥彦競輪,2R,16:26,最終日,Ａ,"=""7-5""","=""7-5-1""","=""4-3-2-6""","=""5-7-4""","=""1-3-2-6""",0.95,0.9,0.85,0.84,0.81,0.69,0.54,,,0.12,54.42,7
いわき平競輪,3R,16:36,2日目,Ａ,"=""4-5""","=""4-5-1""","=""2-7-3-6""","=""4-5-2""","=""7-1-6-3""",0.94,0.91,0.89,0.86,0.83,0.75,0.74,,,0.08,51.49,7
弥彦競輪,3R,16:48,最終日,Ａ,"=""1-5""","=""1-5-2""","=""3-7-4-6""","=""5-2-3""","=""1-4-7-6""",0.93,0.91,0.86,0.85,0.77,0.76,0.71,,,0.08,51.24,7
いわき平競輪,4R,17:00,2日目,Ａ,"=""4-1""","=""4-1-3""","=""5-7-2-6""","=""1-5-6""","=""3-7-4-2""",0.92,0.91,0.91,0.9,0.86,0.85,0.8,,,0.03,48.05,7
弥彦競輪,4R,17:12,最終日,Ａ,"=""2-1""","=""2-1-4""","=""3-5-7-6""","=""3-2-6""","=""5-1-4-7""",0.96,0.94,0.87,0.85,0.84,0.81,0.69,,,0.12,53.65,7
いわき平競輪,5R,17:24,2日目,Ａ,"=""4-1""","=""4-1-3""","=""5-7-2-6""","=""4-1-3""","=""5-7-6-2""",0.95,0.91,0.91,0.9,0.86,0.78,0.7,,,0.05,51.02,7
弥彦競輪,5R,17:36,最終日,Ｓ,"=""1-2""","=""1-2-3""","=""5-6-4""","=""1-5-2""","=""6-3-4""",0.85,0.84,0.81,0.76,0.76,0.63,,,,0.1,47.02,6
いわき平競輪,6R,17:48,2日目,Ｓ,"=""4-5""","=""4-5-3""","=""1-2-6""","=""3-1-6""","=""4-2-5""",0.86,0.85,0.82,0.82,0.81,0.79,,,,0.04,44.74,6
弥彦競輪,6R,18:00,最終日,Ｓ,"=""4-5""","=""4-5-3""","=""1-2-6""","=""5-3-4""","=""2-6-1""",0.85,0.85,0.84,0.79,0.76,0.72,,,,0.07,45.78,6
いわき平競輪,7R,18:12,2日目,Ｓ,"=""5-4""","=""5-4-3""","=""1-2-6""","=""5-6-1""","=""2-3-4""",0.81,0.79,0.77,0.76,0.76,0.74,,,,0.05,42.89,6
弥彦競輪,7R,18:24,最終日,Ｓ,"=""2-3""","=""2-3-1""","=""7-5-4-6""","=""3-1-7""","=""2-4-5-6""",0.84,0.81,0.77,0.76,0.74,0.72,0.53,,,0.1,47.27,7
いわき平競輪,8R,18:36,2日目,Ｓ,"=""1-5""","=""1-5-4""","=""2-7-3-6""","=""2-4-1""","=""7-3-5-6""",0.85,0.85,0.83,0.81,0.8,0.74,0.52,,,0.04,45.8,7
弥彦競輪,8R,18:48,最終日,Ｓ,"=""1-3""","=""1-3-4""","=""5-2-7-6""","=""5-3-4""","=""1-7-2-6""",0.88,0.86,0.86,0.8,0.72,0.7,0.59,,,0.08,48.95,7
いわき平競輪,9R,19:00,2日目,Ｓ,"=""1-5""","=""1-5-3""","=""4-2-7-6""","=""1-3-2""","=""5-4-7-6""",0.86,0.83,0.81,0.79,0.78,0.77,0.53,,,0.09,48.22,7
弥彦競輪,9R,19:12,最終日,Ｓ,"=""5-1""","=""5-1-4""","=""3-7-2-6""","=""3-1-4""","=""5-2-7-6""",0.86,0.82,0.79,0.77,0.74,0.72,0.53,,,0.1,48.55,7
いわき平競輪,10R,19:25,2日目,Ｓ,"=""3-1""","=""3-1-2""","=""7-5-4-6""","=""3-7-2""","=""1-4-5-6""",0.8,0.79,0.79,0.76,0.75,0.73,0.51,,,0.05,43.18,7
弥彦競輪,10R,19:38,最終日,Ｓ,"=""2-7""","=""2-7-3""","=""4-5-1-6""","=""3-7-2""","=""4-5-1-6""",0.86,0.84,0.84,0.77,0.69,0.66,0.52,,,0.1,49.12,7
いわき平競輪,11R,19:51,2日目,Ｓ,"=""1-5""","=""1-5-2""","=""4-3-7-6""","=""2-4-5""","=""1-3-7-6""",0.84,0.83,0.82,0.81,0.72,0.69,0.55,,,0.03,45.12,7
弥彦競輪,11R,20:04,最終日,Ａ,"=""5-7""","=""5-7-4""","=""3-2-1-6""","=""5-7-3""","=""2-4-1-6""",0.93,0.91,0.88,0.86,0.85,0.79,0.76,,,0.08,50.61,7
いわき平競輪,12R,20:17,2日目,Ｓ,"=""1-7""","=""1-7-2""","=""5-4-3-6""","=""7-2-5""","=""4-1-3-6""",0.85,0.85,0.82,0.77,0.75,0.73,0.56,,,0.1,47.85,7
弥彦競輪,12R,20:30,最終日,Ｓ,"=""5-4""","=""5-4-1""","=""7-2-3-6""","=""7-4-3""","=""5-1-2-6""",0.86,0.83,0.75,0.74,0.74,0.73,0.57,,,0.14,49.53,7
高知競輪,1R,20:41,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.98,0.97,0.94,0.89,0.81,0.67,0.59,,,0.1,55.23,7
京王閣競輪,1R,20:49,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""1-2-3""","=""4-6-7-5""",0.93,0.89,0.8,0.79,0.78,0.7,0.69,,,0.15,53.73,7
武雄競輪,1R,20:57,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.98,0.97,0.95,0.88,0.8,0.68,0.54,,,0.1,55.51,7
高知競輪,2R,21:05,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.98,0.96,0.95,0.85,0.8,0.67,0.61,,,0.13,56.1,7
京王閣競輪,2R,21:13,2日目,Ａ,"=""2-1""","=""2-1-3""","=""5-4-6-7""","=""1-2-3""","=""4-5-7-6""",0.95,0.94,0.91,0.87,0.76,0.65,0.58,,,0.08,53.3,7
武雄競輪,2R,21:21,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",0.98,0.96,0.94,0.89,0.81,0.7,0.54,,,0.09,55.2,7
高知競輪,3R,21:29,2日目,Ａ,"=""1-2""","=""1-2-4""","=""3-6-5""","=""5-1-6""","=""2-4-3""",0.91,0.9,0.88,0.85,0.76,0.61,,,,0.07,50.08,6
京王閣競輪,3R,21:37,2日目,Ａ,"=""1-2""","=""1-2-4""","=""3-6-5-7""","=""1-2-7""","=""6-4-3-5""",0.93,0.92,0.86,0.85,0.81,0.72,0.53,,,0.08,51.76,7
武雄競輪,3R,21:45,2日目,チ,"=""1-2""","=""1-2-4""","=""3-5-6""","=""2-1-3""","=""4-6-5""",0.97,0.95,0.91,0.77,0.72,0.64,,,,0.21,57.29,6
高知競輪,4R,21:53,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""1-2-3""","=""4-6-5-7""",0.92,0.88,0.85,0.83,0.82,0.67,0.66,,,0.1,51.69,7
京王閣競輪,4R,22:01,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-6-5-7""","=""1-2-3""","=""4-6-5-7""",0.93,0.9,0.88,0.81,0.81,0.72,0.56,,,0.12,52.95,7
武雄競輪,4R,22:09,2日目,チ,"=""2-1""","=""2-1-3""","=""4-5-7-6""","=""2-1-3""","=""4-5-7-6""",0.96,0.94,0.89,0.82,0.77,0.56,0.54,,,0.15,56.59,7
高知競輪,5R,22:18,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-1-7""","=""2-4-5-6""",0.92,0.92,0.91,0.9,0.88,0.8,0.71,,,0.02,48.15,7
京王閣競輪,5R,22:27,2日目,Ａ,"=""2-1""","=""2-1-4""","=""3-5-6-7""","=""1-2-3""","=""5-6-7-4""",0.93,0.87,0.86,0.86,0.81,0.81,0.73,,,0.08,50.8,7
武雄競輪,5R,22:36,2日目,チ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-2-3""","=""4-5-6-7""",0.96,0.93,0.9,0.82,0.75,0.75,0.66,,,0.14,55.32,7
高知競輪,6R,22:45,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-3-2""","=""4-5-6-7""",0.93,0.91,0.89,0.86,0.86,0.81,0.72,,,0.07,50.48,7
京王閣競輪,6R,22:54,2日目,Ａ,"=""1-3""","=""1-3-4""","=""5-2-6-7""","=""1-2-3""","=""4-5-6-7""",0.96,0.93,0.91,0.89,0.87,0.81,0.77,,,0.08,51.84,7
武雄競輪,6R,23:03,2日目,チ,"=""1-2""","=""1-2-3""","=""5-4-6-7""","=""1-2-3""","=""7-5-4-6""",0.93,0.91,0.81,0.77,0.77,0.73,0.64,,,0.17,54.43,7
高知競輪,7R,23:12,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-2-3""","=""4-6-7-5""",0.95,0.92,0.91,0.88,0.88,0.86,0.86,,,0.07,50.74,7
京王閣競輪,7R,23:21,2日目,Ａ,"=""2-1""","=""2-1-4""","=""5-3-6-7""","=""1-3-4""","=""2-5-6-7""",0.94,0.91,0.89,0.85,0.78,0.78,0.66,,,0.1,52.63,7
武雄競輪,7R,23:30,2日目,チ,"=""2-1""","=""2-1-4""","=""3-5-6-7""","=""1-3-2""","=""5-6-4-7""",0.95,0.93,0.93,0.9,0.86,0.81,0.56,,,0.05,51.28,7
