race_id,競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,運用判定,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_A-BCD流し_合成オッズ,1着モデル_ボックス判定,1着モデル_ボックス_合成オッズ,3着以内モデル_A-BCD流し判定,3着以内モデル_A-BCD流し_合成オッズ,3着以内モデル_ボックス判定,3着以内モデル_ボックス_合成オッズ,運用判定_3着以内モデル判定,運用判定_3着以内モデル_合成オッズ,運用判定_1着モデル判定,運用判定_1着モデル_合成オッズ,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア
5520260806020003,和歌山競輪,3R,11:31,2日目,Ｓ,"=""2-7""","=""2-7-3""","=""9-1-5-4-6-8""","=""7-2-5""","=""1-9-3-8-6-4""",A-B-C-E,9,"=""7-1-4""",1450,2,不的中,2.42,不的中,0.6,不的中,2.42,不的中,0.6,不的中,0.6,不的中,0.6,0.86,0.8,0.78,0.75,0.73,0.7,0.63,0.59,0.56,0.13,50.71
4520260805030002,豊橋競輪,2R,11:36,最終日,チ,"=""1-7""","=""1-7-4""","=""5-3-6-2""","=""1-3-7""","=""4-5-2-6""",A-B-D-E,7,"=""4-1-7""",5650,18,不的中,9.42,的中,2.35,不的中,9.42,的中,2.35,不的中,2.35,不的中,2.35,0.96,0.94,0.92,0.91,0.81,0.7,0.59,,,0.05,52.4
5520260806020004,和歌山競輪,4R,11:56,2日目,Ｓ,"=""1-5""","=""1-5-9""","=""7-2-6-4-8-3""","=""1-9-7""","=""2-5-3-6-8-4""",A-B-D-E,9,"=""3-1-5""",2930,6,不的中,4.88,不的中,1.22,不的中,4.88,不的中,1.22,不的中,1.22,不的中,1.22,0.86,0.84,0.81,0.79,0.79,0.72,0.58,0.54,0.5,0.08,48.85
4520260805030003,豊橋競輪,3R,12:04,最終日,チ,"=""4-3""","=""4-3-2""","=""7-5-6-1""","=""3-4-5""","=""2-7-6-1""",見送り,7,"=""2-3-7""",3790,11,不的中,6.32,的中,1.58,不的中,6.32,不的中,1.58,見送り,1.58,見送り,1.58,0.94,0.94,0.9,0.73,0.68,0.66,0.58,,,0.23,57.19
5520260806020005,和歌山競輪,5R,12:21,2日目,Ｓ,"=""1-7""","=""1-7-3""","=""9-2-5-8-4-6""","=""1-9-3""","=""7-5-2-6-8-4""",A-B-C-E,9,"=""1-7-9""",2130,3,的中,3.55,的中,0.89,的中,3.55,的中,0.89,不的中,0.89,不的中,0.89,0.86,0.86,0.85,0.79,0.77,0.76,0.66,0.52,0.51,0.08,49.05
4520260805030004,豊橋競輪,4R,12:32,最終日,ガ,"=""2-5""","=""2-5-1""","=""4-3-7-6""","=""1-5-2""","=""4-3-7-6""",A-B-D-E,7,"=""5-1-2""",820,2,不的中,1.37,的中,0.34,不的中,1.37,的中,0.34,不的中,0.34,不的中,0.34,0.98,0.96,0.93,0.89,0.83,0.73,0.61,,,0.09,54.49
5520260806020006,和歌山競輪,6R,12:46,2日目,Ｓ,"=""2-5""","=""2-5-3""","=""7-9-1-6-8-4""","=""2-7-3""","=""9-5-1-6-8-4""",見送り,9,"=""3-5-9""",4700,11,不的中,7.83,不的中,1.96,不的中,7.83,不的中,1.96,見送り,1.96,見送り,1.96,0.87,0.82,0.81,0.77,0.75,0.67,0.66,0.52,0.51,0.12,51.17
4520260805030005,豊橋競輪,5R,12:59,最終日,Ａ,"=""2-7""","=""2-7-5""","=""4-3-1-6""","=""2-7-6""","=""4-5-3-1""",A-B-D-E,7,"=""7-2-4""",1160,3,不的中,1.93,的中,0.48,不的中,1.93,的中,0.48,的中,0.48,的中,0.48,0.92,0.88,0.83,0.82,0.76,0.68,0.56,,,0.11,52.58
5520260806020007,和歌山競輪,7R,13:12,2日目,Ｓ,"=""3-5""","=""3-5-9""","=""7-2-1-8-4-6""","=""9-5-7""","=""2-1-3-6-8-4""",見送り,9,"=""7-1-5""",7570,15,不的中,12.62,不的中,3.15,不的中,12.62,不的中,3.15,見送り,3.15,見送り,3.15,0.86,0.86,0.82,0.75,0.73,0.71,0.59,0.55,0.51,0.13,50.92
4520260805030006,豊橋競輪,6R,13:26,最終日,Ａ,"=""3-5""","=""3-5-7""","=""1-4-2-6""","=""3-5-7""","=""6-2-1-4""",見送り,7,"=""5-7-2""",7040,29,不的中,11.73,不的中,2.93,不的中,11.73,不的中,2.93,見送り,2.93,見送り,2.93,0.96,0.91,0.9,0.88,0.84,0.77,0.72,,,0.08,52.6
5520260806020008,和歌山競輪,8R,13:38,2日目,Ｓ,"=""3-9""","=""3-9-1""","=""2-5-7-8-4-6""","=""2-9-3""","=""1-5-7-6-4-8""",見送り,9,"=""9-3-2""",2280,4,不的中,3.8,的中,0.95,不的中,3.8,的中,0.95,見送り,0.95,見送り,0.95,0.87,0.84,0.8,0.75,0.73,0.72,0.58,0.52,0.51,0.14,51.65
4520260805030007,豊橋競輪,7R,13:53,最終日,Ａ,"=""7-3""","=""7-3-5""","=""2-4-1-6""","=""3-5-4""","=""2-7-6-1""",見送り,7,"=""4-3-2""",5890,14,不的中,9.82,不的中,2.45,不的中,9.82,的中,2.45,見送り,2.45,見送り,2.45,0.91,0.88,0.86,0.85,0.85,0.79,0.65,,,0.07,49.66
5520260806020009,和歌山競輪,9R,14:05,2日目,Ｓ,"=""9-1""","=""9-1-5""","=""3-2-7-8-4-6""","=""3-1-9""","=""2-5-7-6-8-4""",見送り,9,"=""1-9-5""",4020,12,不的中,6.7,的中,1.68,不的中,6.7,不的中,1.68,見送り,1.68,見送り,1.68,0.85,0.82,0.81,0.77,0.77,0.72,0.64,0.53,0.51,0.1,49.38
4520260805030008,豊橋競輪,8R,14:21,最終日,Ａ,"=""3-7""","=""3-7-1""","=""2-4-5-6""","=""3-2-7""","=""6-1-4-5""",見送り,7,"=""3-7-1""",620,2,的中,1.03,的中,0.26,不的中,1.03,不的中,0.26,見送り,0.26,見送り,0.26,0.93,0.89,0.89,0.87,0.85,0.82,0.81,,,0.06,49.74
5520260806020010,和歌山競輪,10R,14:33,2日目,Ｓ,"=""3-1""","=""3-1-2""","=""5-7-4-8-9-6""","=""3-7-1""","=""5-9-2-6-4-8""",見送り,9,"=""1-4-9""",16170,55,不的中,26.95,不的中,6.74,不的中,26.95,不的中,6.74,見送り,6.74,見送り,6.74,0.88,0.84,0.82,0.75,0.71,0.69,0.6,0.57,0.5,0.15,52.52
4520260805030009,豊橋競輪,9R,14:49,最終日,チ,"=""7-1""","=""7-1-5""","=""4-3-2-6""","=""1-4-7""","=""3-2-5-6""",見送り,7,"=""1-5-6""",11000,29,不的中,18.33,不的中,4.58,不的中,18.33,不的中,4.58,見送り,4.58,見送り,4.58,0.97,0.95,0.94,0.82,0.73,0.73,0.67,,,0.16,56.14
5520260806020011,和歌山競輪,11R,15:01,2日目,Ｓ,"=""2-7""","=""2-7-5""","=""3-9-1-8-4-6""","=""2-5-7""","=""3-9-1-6-4-8""",見送り,9,"=""2-1-9""",62780,91,不的中,104.63,不的中,26.16,不的中,104.63,不的中,26.16,見送り,26.16,見送り,26.16,0.88,0.87,0.82,0.77,0.7,0.61,0.6,0.57,0.53,0.12,51.79
4520260805030010,豊橋競輪,10R,15:19,最終日,ガ,"=""6-7""","=""6-7-2""","=""5-4-1-3""","=""2-6-7""","=""5-4-1-3""",見送り,7,"=""7-1-5""",17010,40,不的中,28.35,不的中,7.09,不的中,28.35,不的中,7.09,見送り,7.09,見送り,7.09,0.98,0.96,0.94,0.91,0.82,0.72,0.56,,,0.07,54.41
5520260806020012,和歌山競輪,12R,15:30,2日目,Ｓ,"=""3-1""","=""3-1-7""","=""5-9-2-4-8-6""","=""3-9-5""","=""7-1-2-6-4-8""",A-B-C-E,9,"=""7-1-9""",780,1,不的中,1.3,不的中,0.33,不的中,1.3,不的中,0.33,不的中,0.33,的中,0.33,0.88,0.85,0.77,0.76,0.75,0.69,0.58,0.51,0.5,0.13,52.28
8520260807010001,佐世保競輪,1R,15:40,初日,チ,"=""2-1""","=""2-1-4""","=""7-3-6-5""","=""1-2-3""","=""4-7-5-6""",見送り,7,"=""3-1-2""",2630,6,不的中,4.38,不的中,1.1,不的中,4.38,的中,1.1,見送り,1.1,見送り,1.1,0.92,0.91,0.83,0.69,0.55,0.51,0.51,,,0.25,58.05
1320260806020001,いわき平競輪,1R,15:48,2日目,チ,"=""4-5""","=""4-5-3""","=""1-2-6""","=""4-3-5""","=""1-2-6""",A-B-D-E,6,"=""3-1-6""",760,1,不的中,1.27,不的中,0.32,不的中,1.27,不的中,0.32,不的中,0.32,不的中,0.32,0.96,0.93,0.9,0.87,0.87,0.83,,,,0.08,51.53
4520260805030011,豊橋競輪,11R,15:56,最終日,Ａ,"=""5-7""","=""5-7-4""","=""1-3-2-6""","=""5-4-7""","=""3-1-2-6""",A-B-D-E,7,"=""5-7-2""",1580,1,不的中,2.63,不的中,0.66,不的中,2.63,不的中,0.66,不的中,0.66,不的中,0.66,0.94,0.9,0.88,0.85,0.84,0.83,0.77,,,0.1,51.38
8520260807010002,佐世保競輪,2R,16:07,初日,チ,"=""1-2""","=""1-2-5""","=""3-4-7-6""","=""2-1-5""","=""4-3-6-7""",見送り,7,"=""2-1-3""",830,2,不的中,1.38,的中,0.35,不的中,1.38,不的中,0.35,見送り,0.35,見送り,0.35,0.96,0.93,0.81,0.69,0.69,0.6,0.51,,,0.28,60.5
1320260806020002,いわき平競輪,2R,16:16,2日目,チ,"=""1-3""","=""1-3-4""","=""2-7-5-6""","=""4-1-5""","=""2-6-7-3""",見送り,7,"=""5-1-7""",6530,22,不的中,10.88,不的中,2.72,不的中,10.88,不的中,2.72,見送り,2.72,見送り,2.72,0.94,0.93,0.89,0.84,0.75,0.7,0.68,,,0.11,53.24
8520260807010003,佐世保競輪,3R,16:33,初日,ガ,"=""6-4""","=""6-4-2""","=""5-7-1-3""","=""2-6-4""","=""5-7-1-3""",見送り,7,"=""6-4-5""",4340,13,的中,7.23,的中,1.81,不的中,7.23,的中,1.81,見送り,1.81,見送り,1.81,0.98,0.97,0.94,0.9,0.81,0.7,0.55,,,0.08,54.78
1320260806020003,いわき平競輪,3R,16:44,2日目,チ,"=""2-7""","=""2-7-3""","=""1-4-5-6""","=""2-7-3""","=""4-1-6-5""",見送り,7,"=""7-3-2""",2650,8,不的中,4.42,的中,1.1,不的中,4.42,的中,1.1,見送り,1.1,見送り,1.1,0.94,0.91,0.89,0.85,0.75,0.66,0.64,,,0.1,52.84
8520260807010004,佐世保競輪,4R,16:59,初日,ガ,"=""5-3""","=""5-3-6""","=""7-2-1-4""","=""6-3-5""","=""7-2-1-4""",A-B-C-E,7,"=""5-1-2""",8310,27,不的中,13.85,不的中,3.46,不的中,13.85,不的中,3.46,不的中,3.46,不的中,3.46,0.98,0.96,0.94,0.85,0.78,0.68,0.59,,,0.14,56.69
1320260806020004,いわき平競輪,4R,17:12,2日目,チ,"=""3-7""","=""3-7-1""","=""5-2-6-4""","=""3-5-7""","=""1-2-6-4""",見送り,7,"=""7-1-3""",3280,11,不的中,5.47,的中,1.37,不的中,5.47,的中,1.37,見送り,1.37,見送り,1.37,0.96,0.95,0.88,0.82,0.74,0.55,0.5,,,0.14,56.15
8520260807010005,佐世保競輪,5R,17:25,初日,ガ,"=""2-7""","=""2-7-4""","=""6-3-1-5""","=""4-2-7""","=""6-3-1-5""",見送り,7,"=""1-7-4""",64190,85,不的中,106.98,不的中,26.75,不的中,106.98,不的中,26.75,見送り,26.75,見送り,26.75,0.98,0.96,0.94,0.9,0.8,0.57,0.54,,,0.08,55.52
1320260806020005,いわき平競輪,5R,17:38,2日目,ガ,"=""5-2""","=""5-2-3""","=""7-6-1-4""","=""3-5-2""","=""7-6-1-4""",A-B-D-E,7,"=""3-2-1""",5990,24,不的中,9.98,不的中,2.5,不的中,9.98,不的中,2.5,不的中,2.5,不的中,2.5,0.98,0.96,0.95,0.89,0.78,0.7,0.61,,,0.09,55.02
8520260807010006,佐世保競輪,6R,17:51,初日,ガ,"=""5-1""","=""5-1-6""","=""7-4-3-2""","=""6-5-1""","=""7-4-3-2""",A-B-C-E,7,"=""1-5-2""",1960,6,不的中,3.27,不的中,0.82,不的中,3.27,不的中,0.82,不的中,0.82,不的中,0.82,0.98,0.96,0.94,0.85,0.7,0.68,0.55,,,0.14,56.95
1320260806020006,いわき平競輪,6R,18:04,2日目,ガ,"=""5-2""","=""5-2-4""","=""1-6-3-7""","=""4-5-2""","=""1-6-3-7""",A-B-C-E,7,"=""2-4-5""",1630,6,不的中,2.72,的中,0.68,不的中,2.72,的中,0.68,的中,0.68,的中,0.68,0.98,0.96,0.95,0.89,0.77,0.71,0.61,,,0.1,55.18
8520260807010007,佐世保競輪,7R,18:17,初日,ガ,"=""2-1""","=""2-1-4""","=""6-3-5-7""","=""4-2-1""","=""6-3-5-7""",A-B-D-E,7,"=""1-6-2""",6440,20,不的中,10.73,的中,2.68,不的中,10.73,的中,2.68,不的中,2.68,的中,2.68,0.98,0.96,0.95,0.89,0.81,0.74,0.56,,,0.09,54.58
1320260806020007,いわき平競輪,7R,18:30,2日目,Ａ,"=""5-4""","=""5-4-1""","=""2-3-7-6""","=""2-5-4""","=""3-1-7-6""",A-B-C-E,7,"=""5-3-1""",7300,14,不的中,12.17,不的中,3.04,不的中,12.17,不的中,3.04,不的中,3.04,的中,3.04,0.95,0.94,0.91,0.82,0.79,0.66,0.65,,,0.14,54.51
8520260807010008,佐世保競輪,8R,18:43,初日,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",見送り,7,"=""6-5-1""",339670,164,不的中,566.12,不的中,141.53,不的中,566.12,不的中,141.53,見送り,141.53,見送り,141.53,0.98,0.96,0.94,0.9,0.84,0.73,0.6,,,0.09,54.53
1320260806020008,いわき平競輪,8R,18:56,2日目,Ａ,"=""7-3""","=""7-3-5""","=""4-1-2-6""","=""7-3-5""","=""2-4-1-6""",A-B-D-E,7,"=""2-3-7""",46820,84,不的中,78.03,不的中,19.51,不的中,78.03,的中,19.51,的中,19.51,不的中,19.51,0.97,0.92,0.85,0.83,0.82,0.79,0.7,,,0.14,55.15
8520260807010009,佐世保競輪,9R,19:09,初日,ガ,"=""7-2""","=""7-2-5""","=""4-1-3-6""","=""5-7-2""","=""4-1-3-6""",A-B-D-E,7,"=""3-1-2""",20260,56,不的中,33.77,不的中,8.44,不的中,33.77,不的中,8.44,不的中,8.44,不的中,8.44,0.98,0.96,0.95,0.89,0.81,0.66,0.63,,,0.09,54.57
1320260806020009,いわき平競輪,9R,19:22,2日目,Ａ,"=""1-7""","=""1-7-3""","=""4-2-6-5""","=""7-1-2""","=""4-3-6-5""",見送り,7,"=""7-5-2""",24460,58,不的中,40.77,不的中,10.19,不的中,40.77,不的中,10.19,見送り,10.19,見送り,10.19,0.95,0.87,0.87,0.87,0.74,0.55,0.52,,,0.09,54.87
8520260807010010,佐世保競輪,10R,19:35,初日,ガ,"=""2-1""","=""2-1-4""","=""6-3-5-7""","=""4-2-1""","=""6-3-5-7""",A-B-D-E,7,"=""1-2-3""",2420,5,不的中,4.03,不的中,1.01,不的中,4.03,不的中,1.01,不的中,1.01,的中,1.01,0.98,0.96,0.95,0.9,0.84,0.71,0.56,,,0.08,54.39
1320260806020010,いわき平競輪,10R,19:48,2日目,Ａ,"=""7-3""","=""7-3-5""","=""4-1-2-6""","=""7-3-6""","=""4-5-1-2""",A-B-D-E,7,"=""7-3-1""",5390,18,不的中,8.98,不的中,2.25,不的中,8.98,不的中,2.25,不的中,2.25,的中,2.25,0.93,0.91,0.9,0.86,0.84,0.79,0.65,,,0.08,50.63
8520260807010011,佐世保競輪,11R,20:02,初日,ガ,"=""1-3""","=""1-3-4""","=""2-7-5-6""","=""4-3-1""","=""2-7-5-6""",A-B-D-E,7,"=""4-1-2""",8590,30,不的中,14.32,的中,3.58,的中,14.32,的中,3.58,不的中,3.58,不的中,3.58,0.98,0.96,0.95,0.9,0.84,0.68,0.56,,,0.08,54.97
1320260806020011,いわき平競輪,11R,20:16,2日目,Ａ,"=""1-5""","=""1-5-4""","=""2-3-7-6""","=""5-3-1""","=""2-7-4-6""",A-B-C-E,7,"=""5-1-3""",1550,4,不的中,2.58,不的中,0.65,的中,2.58,的中,0.65,的中,0.65,的中,0.65,0.95,0.91,0.88,0.82,0.82,0.81,0.75,,,0.13,53.35
8520260807010012,佐世保競輪,12R,20:30,初日,ガ,"=""2-1""","=""2-1-3""","=""4-7-5-6""","=""3-2-1""","=""4-7-5-6""",A-B-D-E,7,"=""1-3-6""",7460,17,不的中,12.43,不的中,3.11,不的中,12.43,不的中,3.11,不的中,3.11,不的中,3.11,0.98,0.96,0.95,0.9,0.84,0.71,0.57,,,0.09,54.94
2420260806020001,宇都宮競輪,1R,20:40,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-1-2""","=""4-5-6-7""",A-B-D-E,7,"=""2-1-6""",3520,11,不的中,5.87,不的中,1.47,不的中,5.87,不的中,1.47,不的中,1.47,不的中,1.47,0.98,0.96,0.96,0.89,0.76,0.69,0.53,,,0.09,55.44
3720260806020001,伊東競輪,1R,20:50,2日目,チ,"=""1-3""","=""1-3-4""","=""2-5-6-7""","=""1-2-3""","=""4-5-6-7""",見送り,7,"=""6-4-5""",660,1,不的中,1.1,不的中,0.27,不的中,1.1,不的中,0.27,見送り,0.27,見送り,0.27,0.96,0.94,0.93,0.78,0.75,0.75,0.51,,,0.19,56.46
2420260806020002,宇都宮競輪,2R,21:00,2日目,ガ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-2-1""","=""4-5-6-7""",見送り,7,"=""1-3-2""",1150,4,不的中,1.92,的中,0.48,不的中,1.92,的中,0.48,見送り,0.48,見送り,0.48,0.98,0.96,0.94,0.91,0.77,0.67,0.61,,,0.07,54.21
3720260806020002,伊東競輪,2R,21:10,2日目,チ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""2-1-4""","=""3-5-6-7""",A-B-D-E,7,"=""1-2-5""",300,1,不的中,0.5,不的中,0.12,不的中,0.5,不的中,0.12,的中,0.12,的中,0.12,0.97,0.95,0.91,0.91,0.88,0.86,0.74,,,0.07,52.32
2420260806020003,宇都宮競輪,3R,21:20,2日目,Ａ,"=""1-2""","=""1-2-3""","=""5-4-7-6""","=""5-1-2""","=""3-6-7-4""",見送り,7,"=""1-3-5""",5240,13,的中,8.73,的中,2.18,不的中,8.73,的中,2.18,見送り,2.18,見送り,2.18,0.92,0.92,0.87,0.86,0.79,0.74,0.67,,,0.07,50.77
3720260806020003,伊東競輪,3R,21:30,2日目,チ,"=""2-3""","=""2-3-4""","=""1-5-6-7""","=""1-2-3""","=""7-5-4-6""",見送り,7,"=""5-6-3""",4030,12,不的中,6.72,不的中,1.68,不的中,6.72,不的中,1.68,見送り,1.68,見送り,1.68,0.96,0.96,0.9,0.69,0.68,0.65,0.64,,,0.28,59.8
2420260806020004,宇都宮競輪,4R,21:40,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-6-7-5""","=""1-2-3""","=""4-7-6-5""",A-B-C-E,7,"=""3-2-1""",340,1,不的中,0.57,的中,0.14,不的中,0.57,的中,0.14,的中,0.14,的中,0.14,0.95,0.94,0.91,0.85,0.82,0.58,0.53,,,0.11,54.16
3720260806020004,伊東競輪,4R,21:50,2日目,チ,"=""2-1""","=""2-1-4""","=""3-5-7-6""","=""1-3-2""","=""5-6-7-4""",A-B-C-E,7,"=""2-3-5""",7230,24,不的中,12.05,不的中,3.01,不的中,12.05,的中,3.01,不的中,3.01,不的中,3.01,0.95,0.93,0.93,0.87,0.83,0.8,0.76,,,0.09,51.77
2420260806020005,宇都宮競輪,5R,22:00,2日目,Ａ,"=""2-4""","=""2-4-3""","=""1-5-6-7""","=""1-2-3""","=""5-4-6-7""",見送り,7,"=""5-1-7""",660,1,不的中,1.1,不的中,0.27,不的中,1.1,不的中,0.27,見送り,0.27,見送り,0.27,0.95,0.92,0.91,0.9,0.87,0.81,0.65,,,0.04,50.69
3720260806020005,伊東競輪,5R,22:10,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-2-3""","=""4-5-6-7""",A-B-D-E,7,"=""1-3-5""",1520,4,不的中,2.53,不的中,0.63,不的中,2.53,不的中,0.63,不的中,0.63,不的中,0.63,0.96,0.95,0.92,0.87,0.84,0.7,0.57,,,0.09,53.32
2420260806020006,宇都宮競輪,6R,22:20,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-6-5-7""","=""3-2-1""","=""6-4-5-7""",A-B-D-E,7,"=""3-7-6""",780,1,不的中,1.3,不的中,0.33,不的中,1.3,不的中,0.33,不的中,0.33,不的中,0.33,0.92,0.91,0.9,0.84,0.82,0.75,0.69,,,0.09,50.6
3720260806020006,伊東競輪,6R,22:30,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-6-1""","=""4-3-7-5""",見送り,7,"=""3-6-5""",51890,135,不的中,86.48,不的中,21.62,不的中,86.48,不的中,21.62,見送り,21.62,見送り,21.62,0.92,0.89,0.89,0.89,0.84,0.81,0.72,,,0.04,48.89
2420260806020007,宇都宮競輪,7R,22:40,2日目,Ａ,"=""1-3""","=""1-3-2""","=""5-4-6-7""","=""7-1-4""","=""3-2-6-5""",A-B-D-E,7,"=""4-7-2""",20350,51,不的中,33.92,不的中,8.48,不的中,33.92,不的中,8.48,不的中,8.48,不的中,8.48,0.95,0.92,0.85,0.85,0.81,0.81,0.77,,,0.1,52.46
3720260806020007,伊東競輪,7R,22:50,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-3-2""","=""4-6-5-7""",A-B-C-E,7,"=""3-4-2""",1940,5,不的中,3.23,的中,0.81,不的中,3.23,的中,0.81,不的中,0.81,不的中,0.81,0.96,0.93,0.91,0.86,0.85,0.84,0.71,,,0.1,52.87
2420260806020008,宇都宮競輪,8R,23:00,2日目,Ａ,"=""2-3""","=""2-3-4""","=""1-5-6-7""","=""1-2-3""","=""4-5-6-7""",見送り,7,"=""2-1-7""",8740,30,不的中,14.57,不的中,3.64,不的中,14.57,不的中,3.64,見送り,3.64,見送り,3.64,0.92,0.92,0.91,0.88,0.86,0.83,0.75,,,0.04,48.54
3720260806020008,伊東競輪,8R,23:10,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""4-5-6-7""",見送り,7,,,,,0.0,,0.0,,0.0,,0.0,見送り,0.0,見送り,0.0,0.94,0.93,0.89,0.86,0.86,0.81,0.7,,,0.08,50.78
2420260806020009,宇都宮競輪,9R,23:20,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""2-1-3""","=""4-5-6-7""",A-B-D-E,7,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.93,0.93,0.91,0.86,0.86,0.81,0.7,,,0.08,50.68
3720260806020009,伊東競輪,9R,23:30,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-7-6""","=""2-3-1""","=""6-4-7-5""",A-B-C-E,7,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.93,0.91,0.89,0.83,0.81,0.8,0.77,,,0.1,51.41
