競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,運用判定,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_ボックス判定,3着以内モデル_A-BCD流し判定,3着以内モデル_ボックス判定,運用判定_3着以内モデル判定,運用判定_1着モデル判定
小田原競輪,8R,14:42,最終日,Ｓ,"=""3-7""","=""3-7-1""","=""2-9-6-5-8-4""","=""2-7-3""","=""1-5-9-4-6-8""",0.85,0.84,0.78,0.75,0.72,0.71,0.61,0.6,0.51,0.13,50.25,A-B-C-E,9,"=""2-8-1""",12210,41,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,10R,14:57,初日,Ｓ,"=""5-1""","=""5-1-7""","=""4-2-3-6""","=""5-7-4""","=""2-3-1-6""",0.86,0.86,0.84,0.8,0.76,0.75,0.53,,,0.07,47.61,A-B-D-E,7,"=""3-1-2""",73890,133,不的中,不的中,不的中,不的中,不的中,不的中
小田原競輪,9R,15:12,最終日,Ｓ,"=""1-9""","=""1-9-7""","=""2-3-5-4-6-8""","=""7-9-2""","=""3-1-5-6-8-4""",0.85,0.83,0.82,0.75,0.73,0.72,0.58,0.55,0.51,0.12,49.81,見送り,9,"=""2-9-7""",35710,131,不的中,的中,不的中,的中,見送り,見送り
小松島競輪,11R,15:28,初日,Ｓ,"=""4-1""","=""4-1-5""","=""2-3-7-6""","=""4-2-5""","=""7-1-3-6""",0.88,0.86,0.84,0.8,0.75,0.73,0.52,,,0.08,49.02,A-B-D-E,7,"=""4-3-1""",2970,8,不的中,不的中,不的中,不的中,不的中,的中
小田原競輪,10R,15:44,最終日,Ｓ,"=""1-9""","=""1-9-2""","=""3-7-5-6-4-8""","=""2-1-9""","=""7-3-5-6-8-4""",0.86,0.83,0.79,0.77,0.74,0.7,0.61,0.52,0.52,0.1,49.97,A-B-C-E,9,"=""9-2-5""",8180,25,不的中,不的中,不的中,不的中,不的中,不的中
名古屋競輪,1R,15:51,初日,Ａ,"=""1-2""","=""1-2-7""","=""4-5-3-6""","=""2-1-7""","=""5-4-3-6""",0.95,0.89,0.85,0.85,0.82,0.62,0.51,,,0.11,54.48,A-B-D-E,7,"=""1-7-4""",1190,1,的中,的中,不的中,不的中,不的中,不的中
小松島競輪,12R,15:59,初日,Ｓ,"=""1-5""","=""1-5-2""","=""7-4-3-6""","=""1-5-7""","=""2-3-4-6""",0.85,0.82,0.82,0.75,0.72,0.71,0.53,,,0.11,48.3,見送り,7,"=""5-1-2""",7990,24,不的中,的中,不的中,的中,見送り,見送り
西武園競輪,1R,16:06,2日目,Ａ,"=""4-1""","=""4-1-2""","=""3-7-5-6""","=""2-3-4""","=""1-7-5-6""",0.95,0.92,0.91,0.85,0.72,0.69,0.65,,,0.1,53.46,A-B-C-E,7,"=""4-3-1""",3300,10,的中,的中,不的中,的中,不的中,不的中
名古屋競輪,2R,16:14,初日,Ａ,"=""2-4""","=""2-4-7""","=""5-1-3-6""","=""5-2-4""","=""7-1-3-6""",0.95,0.92,0.84,0.82,0.8,0.69,0.53,,,0.14,55.18,A-B-D-E,7,"=""4-7-1""",1580,3,不的中,不的中,不的中,不的中,不的中,不的中
小田原競輪,11R,16:21,最終日,Ｓ,"=""5-1""","=""5-1-9""","=""2-3-7-4-8-6""","=""5-9-2""","=""1-7-3-4-6-8""",0.84,0.82,0.79,0.75,0.7,0.7,0.57,0.57,0.52,0.11,49.01,見送り,9,"=""1-5-4""",13020,39,不的中,不的中,不的中,不的中,見送り,見送り
西武園競輪,2R,16:28,2日目,Ａ,"=""3-1""","=""3-1-5""","=""2-7-4-6""","=""3-1-5""","=""6-4-2-7""",0.94,0.92,0.9,0.86,0.85,0.81,0.74,,,0.09,51.39,A-B-D-E,7,"=""3-1-6""",10920,43,不的中,不的中,的中,的中,的中,不的中
名古屋競輪,3R,16:38,初日,Ａ,"=""5-1""","=""5-1-2""","=""3-4-7-6""","=""5-1-3""","=""2-7-4-6""",0.94,0.91,0.87,0.86,0.79,0.79,0.6,,,0.08,52.45,見送り,7,"=""1-5-6""",540,2,不的中,不的中,不的中,不的中,見送り,見送り
西武園競輪,3R,16:50,2日目,Ａ,"=""2-3""","=""2-3-1""","=""7-4-6-5""","=""3-2-7""","=""6-1-4-5""",0.92,0.91,0.88,0.85,0.83,0.82,0.69,,,0.07,49.4,見送り,7,"=""5-4-6""",177800,206,不的中,不的中,不的中,不的中,見送り,見送り
名古屋競輪,4R,17:02,初日,Ａ,"=""3-5""","=""3-5-2""","=""1-4-7-6""","=""3-5-7""","=""1-6-2-4""",0.96,0.93,0.93,0.88,0.87,0.83,0.82,,,0.08,51.52,A-B-D-E,7,"=""7-5-3""",1650,4,不的中,不的中,不的中,的中,不的中,不的中
西武園競輪,4R,17:14,2日目,Ａ,"=""7-2""","=""7-2-3""","=""1-5-4-6""","=""7-2-3""","=""5-1-6-4""",0.95,0.93,0.88,0.87,0.87,0.81,0.74,,,0.08,51.6,見送り,7,"=""7-2-5""",1410,4,不的中,不的中,的中,的中,見送り,見送り
名古屋競輪,5R,17:26,初日,Ａ,"=""1-5""","=""1-5-7""","=""3-2-4-6""","=""3-1-4""","=""5-7-2-6""",0.9,0.88,0.82,0.81,0.76,0.72,0.54,,,0.1,51.27,A-B-D-E,7,"=""5-2-1""",2950,3,不的中,不的中,不的中,不的中,不的中,的中
西武園競輪,5R,17:38,2日目,Ａ,"=""5-3""","=""5-3-2""","=""1-7-4-6""","=""7-3-5""","=""2-6-1-4""",0.93,0.93,0.93,0.83,0.79,0.76,0.69,,,0.11,52.11,A-B-C-E,7,"=""5-7-3""",3100,11,不的中,不的中,不的中,的中,的中,的中
名古屋競輪,6R,17:50,初日,Ｓ,"=""3-6""","=""3-6-5""","=""4-1-2""","=""3-4-6""","=""2-5-1""",0.88,0.81,0.78,0.78,0.77,0.76,,,,0.11,49.02,A-B-C-E,6,"=""5-4-3""",12520,50,不的中,的中,不的中,不的中,的中,不的中
西武園競輪,6R,18:02,2日目,Ｓ,"=""2-1""","=""2-1-4""","=""3-5-6""","=""2-4-5""","=""3-1-6""",0.88,0.85,0.81,0.79,0.79,0.78,,,,0.09,47.92,A-B-D-E,6,"=""3-2-5""",490,1,不的中,不的中,不的中,的中,不的中,的中
名古屋競輪,7R,18:14,初日,Ｓ,"=""2-5""","=""2-5-4""","=""1-3-6""","=""4-2-3""","=""5-1-6""",0.86,0.82,0.81,0.79,0.78,0.76,,,,0.09,46.94,A-B-D-E,6,"=""5-2-1""",1820,6,不的中,的中,不的中,不的中,的中,的中
西武園競輪,7R,18:26,2日目,Ｓ,"=""3-5""","=""3-5-2""","=""4-1-6""","=""4-3-2""","=""6-5-1""",0.86,0.86,0.86,0.77,0.77,0.73,,,,0.1,47.37,見送り,6,"=""5-4-1""",180,1,不的中,不的中,不的中,不的中,見送り,見送り
名古屋競輪,8R,18:38,初日,Ｓ,"=""7-4""","=""7-4-3""","=""1-5-2-6""","=""7-3-4""","=""5-1-2-6""",0.88,0.79,0.79,0.78,0.77,0.74,0.53,,,0.11,50.21,A-B-C-E,7,"=""1-4-3""",6020,21,不的中,的中,不的中,不的中,的中,不的中
西武園競輪,8R,18:50,2日目,Ｓ,"=""7-4""","=""7-4-2""","=""1-5-3-6""","=""2-7-4""","=""5-1-3-6""",0.86,0.81,0.79,0.79,0.78,0.75,0.6,,,0.09,48.14,A-B-D-E,7,"=""7-5-2""",1240,1,不的中,不的中,不的中,的中,的中,不的中
名古屋競輪,9R,19:02,初日,Ｓ,"=""1-7""","=""1-7-2""","=""4-5-3-6""","=""1-7-2""","=""5-4-3-6""",0.86,0.84,0.84,0.81,0.78,0.75,0.52,,,0.06,47.14,A-B-D-E,7,"=""1-7-4""",2240,4,的中,的中,不的中,不的中,的中,的中
西武園競輪,9R,19:14,2日目,Ｓ,"=""1-3""","=""1-3-5""","=""2-4-7-6""","=""4-5-3""","=""7-2-1-6""",0.88,0.86,0.81,0.78,0.76,0.75,0.56,,,0.12,49.89,A-B-C-E,7,"=""4-3-5""",5490,15,不的中,不的中,的中,的中,的中,的中
名古屋競輪,10R,19:26,初日,Ｓ,"=""7-1""","=""7-1-3""","=""4-2-5-6""","=""7-4-5""","=""3-1-2-6""",0.86,0.86,0.77,0.76,0.76,0.71,0.56,,,0.12,49.16,A-B-C-E,7,"=""5-3-7""",3040,10,不的中,不的中,不的中,的中,不的中,不的中
西武園競輪,10R,19:38,2日目,Ｓ,"=""7-4""","=""7-4-1""","=""5-3-2-6""","=""7-4-5""","=""3-1-2-6""",0.88,0.86,0.85,0.77,0.73,0.72,0.52,,,0.12,50.01,見送り,7,"=""4-2-7""",4390,11,不的中,不的中,不的中,不的中,見送り,見送り
名古屋競輪,11R,19:51,初日,Ｓ,"=""1-5""","=""1-5-2""","=""4-7-6-3""","=""1-4-7""","=""5-2-3-6""",0.86,0.86,0.82,0.78,0.76,0.76,0.56,,,0.09,48.08,A-B-D-E,7,"=""5-1-3""",3970,13,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,11R,20:04,2日目,Ｓ,"=""5-1""","=""5-1-3""","=""7-4-2-6""","=""7-5-3""","=""4-1-2-6""",0.85,0.84,0.82,0.77,0.73,0.69,0.52,,,0.1,48.35,見送り,7,"=""4-7-1""",37860,94,不的中,不的中,不的中,不的中,見送り,見送り
名古屋競輪,12R,20:17,初日,Ｓ,"=""3-7""","=""3-7-2""","=""5-1-4-6""","=""2-1-3""","=""7-5-4-6""",0.85,0.81,0.8,0.74,0.73,0.72,0.5,,,0.13,49.51,見送り,7,"=""3-5-1""",2430,5,不的中,不的中,不的中,不的中,見送り,見送り
西武園競輪,12R,20:30,2日目,Ｓ,"=""3-5""","=""3-5-2""","=""1-7-4-6""","=""3-5-7""","=""1-2-4-6""",0.87,0.8,0.77,0.76,0.75,0.72,0.52,,,0.13,50.47,A-B-C-E,7,"=""5-3-2""",1400,4,不的中,的中,不的中,不的中,的中,的中
四日市競輪,1R,20:41,2日目,Ａ,"=""2-1""","=""2-1-3""","=""5-4-6-7""","=""2-3-6""","=""1-5-7-4""",0.95,0.92,0.87,0.86,0.8,0.74,0.73,,,0.09,52.38,見送り,7,"=""4-1-2""",19140,76,不的中,不的中,不的中,不的中,見送り,見送り
玉野競輪,1R,20:49,2日目,チ,"=""1-3""","=""1-3-2""","=""5-4-6-7""","=""3-1-2""","=""4-5-7-6""",0.95,0.92,0.91,0.78,0.73,0.63,0.52,,,0.17,56.01,見送り,7,"=""3-4-1""",2150,5,不的中,不的中,的中,的中,見送り,見送り
奈良競輪,1R,20:57,2日目,チ,"=""2-4""","=""2-4-1""","=""3-5-6""","=""2-3-1""","=""6-4-5""",0.94,0.92,0.9,0.81,0.79,0.72,,,,0.14,52.65,見送り,6,"=""5-2-1""",12180,38,不的中,不的中,不的中,不的中,見送り,見送り
四日市競輪,2R,21:05,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""1-2-3""","=""4-7-6-5""",0.93,0.9,0.84,0.81,0.75,0.71,0.69,,,0.13,52.75,A-B-D-E,7,,,,,,,,,
玉野競輪,2R,21:13,2日目,チ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-3-2""","=""4-5-7-6""",0.96,0.9,0.87,0.84,0.81,0.63,0.53,,,0.12,55.31,A-B-C-E,7,,,,,,,,,
奈良競輪,2R,21:21,2日目,チ,"=""1-2""","=""1-2-3""","=""4-5-6""","=""2-1-5""","=""4-3-6""",0.94,0.94,0.92,0.92,0.9,0.66,,,,0.02,48.99,A-B-D-E,6,,,,,,,,,
四日市競輪,3R,21:29,2日目,Ａ,"=""1-4""","=""1-4-3""","=""5-2-6-7""","=""1-2-3""","=""4-6-5-7""",0.94,0.94,0.88,0.85,0.76,0.76,0.7,,,0.1,52.17,A-B-D-E,7,,,,,,,,,
玉野競輪,3R,21:37,2日目,チ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""1-2-3""","=""4-5-6-7""",0.94,0.92,0.9,0.83,0.79,0.75,0.69,,,0.12,53.15,見送り,7,,,,,,,,,
奈良競輪,3R,21:45,2日目,チ,"=""2-5""","=""2-5-1""","=""3-4-7-6""","=""1-5-3""","=""2-4-6-7""",0.96,0.9,0.9,0.83,0.82,0.6,0.51,,,0.13,55.61,見送り,7,,,,,,,,,
四日市競輪,4R,21:53,2日目,Ａ,"=""1-4""","=""1-4-5""","=""2-3-6-7""","=""1-5-2""","=""4-6-3-7""",0.92,0.9,0.9,0.87,0.72,0.69,0.59,,,0.06,51.07,見送り,7,,,,,,,,,
玉野競輪,4R,22:01,2日目,チ,"=""2-3""","=""2-3-4""","=""1-5-7-6""","=""2-1-3""","=""5-4-6-7""",0.94,0.93,0.93,0.76,0.74,0.7,0.51,,,0.19,55.59,見送り,7,,,,,,,,,
奈良競輪,4R,22:09,2日目,チ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""5-4-7-6""",0.93,0.92,0.9,0.89,0.87,0.65,0.63,,,0.04,49.86,A-B-D-E,7,,,,,,,,,
四日市競輪,5R,22:18,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-3-1""","=""5-6-4-7""",0.94,0.92,0.91,0.88,0.81,0.81,0.71,,,0.07,50.7,見送り,7,,,,,,,,,
玉野競輪,5R,22:27,2日目,チ,"=""1-3""","=""1-3-4""","=""2-5-6-7""","=""3-1-2""","=""6-5-4-7""",0.93,0.93,0.93,0.81,0.8,0.76,0.73,,,0.13,52.12,見送り,7,,,,,,,,,
奈良競輪,5R,22:36,2日目,チ,"=""2-3""","=""2-3-4""","=""1-5-6-7""","=""2-1-3""","=""4-5-6-7""",0.95,0.93,0.93,0.87,0.7,0.65,0.6,,,0.08,53.07,A-B-C-E,7,,,,,,,,,
四日市競輪,6R,22:45,2日目,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""3-4-1""","=""5-6-2-7""",0.91,0.89,0.89,0.86,0.81,0.76,0.75,,,0.06,48.74,見送り,7,,,,,,,,,
玉野競輪,6R,22:54,2日目,チ,"=""1-3""","=""1-3-4""","=""2-5-6-7""","=""1-3-2""","=""4-6-5-7""",0.96,0.95,0.94,0.82,0.79,0.75,0.75,,,0.15,54.65,見送り,7,,,,,,,,,
奈良競輪,6R,23:03,2日目,チ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-3-5""","=""2-4-6-7""",0.95,0.92,0.87,0.86,0.79,0.75,0.55,,,0.09,53.39,A-B-D-E,7,,,,,,,,,
四日市競輪,7R,23:12,2日目,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""2-3-1""","=""5-6-4-7""",0.94,0.92,0.91,0.86,0.83,0.81,0.65,,,0.09,52.12,A-B-D-E,7,,,,,,,,,
玉野競輪,7R,23:21,2日目,チ,"=""1-2""","=""1-2-4""","=""3-5-7-6""","=""1-2-3""","=""4-6-5-7""",0.96,0.95,0.92,0.84,0.82,0.74,0.51,,,0.13,55.12,見送り,7,,,,,,,,,
奈良競輪,7R,23:30,2日目,チ,"=""2-1""","=""2-1-4""","=""3-5-6-7""","=""1-2-3""","=""5-4-7-6""",0.96,0.93,0.88,0.79,0.76,0.75,0.71,,,0.18,55.97,見送り,7,,,,,,,,,
