競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,A=B-abcd判定,A=B-abcdCD判定
久留米競輪,4R,17:20,初日,チ,"=""1-7""","=""1-7-2""",3,"=""5-2-3""",7,0.5,0.3,0.12,0.02,0.95,66.72,7,"=""1-7-5""",390,2,的中,的中
名古屋競輪,5R,17:28,初日,Ａ,"=""4-7""","=""4-7-3""",5,"=""3-7-1""",5,0.44,0.26,0.11,0.1,0.78,57.74,7,"=""6-1-4""",30810,113,不的中,不的中
いわき平競輪,5R,17:36,最終日,Ｓ,"=""3-1""","=""3-1-7""",2,"=""1-5-7""",4,0.44,0.16,0.14,0.09,0.8,59.01,7,"=""2-7-4""",2020,3,不的中,不的中
久留米競輪,5R,17:43,初日,チ,"=""7-4""","=""7-4-3""",2,"=""4-2-3""",1,0.39,0.16,0.15,0.08,0.8,57.0,7,"=""5-4-3""",32350,43,不的中,不的中
名古屋競輪,6R,17:51,初日,Ｓ,"=""2-3""","=""2-3-4""",5,"=""3-1-4""",5,0.41,0.26,0.23,0.06,0.86,57.87,7,"=""2-4-3""",1790,3,不的中,不的中
いわき平競輪,6R,18:00,最終日,Ｓ,"=""7-1""","=""7-1-2""",3,"=""3-2-1""",7,0.37,0.26,0.17,0.09,0.75,52.45,7,"=""7-6-1""",42850,90,不的中,不的中
久留米競輪,6R,18:07,初日,特,"=""1-4""","=""1-4-5""",3,"=""7-5-3""",2,0.42,0.23,0.17,0.09,0.79,57.14,7,"=""1-4-7""",660,1,的中,的中
名古屋競輪,7R,18:15,初日,Ｓ,"=""4-7""","=""4-7-2""",5,"=""2-7-1""",4,0.46,0.22,0.14,0.08,0.83,61.1,7,"=""3-7-4""",50530,93,不的中,不的中
いわき平競輪,7R,18:24,最終日,Ｓ,"=""1-7""","=""1-7-5""",2,"=""5-4-2""",3,0.36,0.22,0.12,0.1,0.72,51.1,7,"=""7-1-5""",1540,2,的中,的中
久留米競輪,7R,18:31,初日,特,"=""3-7""","=""3-7-1""",2,"=""1-2-7""",3,0.25,0.18,0.17,0.06,0.75,45.86,7,"=""1-5-2""",6250,19,不的中,不的中
名古屋競輪,8R,18:39,初日,Ｓ,"=""2-7""","=""2-7-1""",4,"=""1-4-7""",5,0.49,0.2,0.16,0.09,0.82,62.54,7,"=""1-2-6""",11430,29,不的中,不的中
いわき平競輪,8R,18:48,最終日,Ｓ,"=""1-5""","=""1-5-2""",3,"=""2-4-5""",3,0.39,0.2,0.12,0.12,0.7,53.19,7,"=""1-5-6""",11550,45,不的中,不的中
久留米競輪,8R,18:55,初日,特,"=""4-2""","=""4-2-7""",1,"=""1-7-2""",3,0.43,0.2,0.13,0.09,0.79,58.12,7,"=""2-1-6""",29920,63,不的中,不的中
名古屋競輪,9R,19:03,初日,Ｓ,"=""1-7""","=""1-7-5""",2,"=""7-5-2""",1,0.43,0.2,0.18,0.09,0.78,57.88,7,"=""1-7-2""",1020,2,的中,的中
いわき平競輪,9R,19:12,最終日,Ｓ,"=""1-5""","=""1-5-2""",3,"=""2-1-7""",4,0.31,0.31,0.18,0.06,0.82,49.94,7,"=""2-5-1""",4320,12,不的中,不的中
久留米競輪,9R,19:19,初日,特,"=""4-3""","=""4-3-1""",5,"=""5-1-7""",3,0.47,0.2,0.14,0.1,0.78,60.48,7,"=""4-3-6""",510,1,不的中,不的中
名古屋競輪,10R,19:27,初日,Ｓ,"=""5-1""","=""5-1-2""",7,"=""1-3-2""",4,0.48,0.23,0.12,0.07,0.86,62.78,7,"=""3-5-2""",12090,48,不的中,不的中
いわき平競輪,10R,19:36,最終日,Ｓ,"=""5-1""","=""5-1-2""",3,"=""2-3-1""",7,0.49,0.23,0.13,0.07,0.85,63.3,7,"=""5-1-7""",2060,8,的中,的中
久留米競輪,10R,19:44,初日,特,"=""4-7""","=""4-7-3""",1,"=""2-5-7""",1,0.18,0.1,0.02,0.02,0.88,48.84,7,"=""4-7-5""",910,3,的中,的中
名古屋競輪,11R,19:52,初日,Ｓ,"=""1-7""","=""1-7-5""",3,"=""7-3-5""",4,0.47,0.18,0.15,0.08,0.84,61.83,7,"=""5-1-7""",1390,2,不的中,不的中
いわき平競輪,11R,20:01,最終日,Ａ,"=""1-3""","=""1-3-5""",4,"=""7-5-1""",4,0.3,0.28,0.19,0.11,0.64,44.19,7,"=""3-1-2""",10520,33,不的中,不的中
久留米競輪,11R,20:10,初日,初,"=""3-7""","=""3-7-2""",5,"=""7-1-2""",5,0.32,0.15,0.12,0.12,0.64,46.76,7,"=""4-6-2""",49980,160,不的中,不的中
名古屋競輪,12R,20:20,初日,Ｓ,"=""3-5""","=""3-5-7""",2,"=""4-2-7""",5,0.37,0.18,0.14,0.11,0.7,51.16,7,"=""3-4-1""",9710,38,不的中,不的中
いわき平競輪,12R,20:30,最終日,Ｓ,"=""2-1""","=""2-1-3""",5,"=""5-7-3""",4,0.44,0.3,0.17,0.1,0.76,56.31,7,"=""2-3-6""",12970,62,不的中,不的中
松阪競輪,1R,20:40,2日目,ガ,"=""1-2""","=""1-2-3""",6,"=""3-2-4""",6,0.48,0.12,0.11,0.06,0.88,63.69,6,"=""1-5-3""",5910,15,不的中,不的中
別府競輪,1R,20:50,2日目,チ,"=""1-2""","=""1-2-3""",4,"=""3-2-5""",4,0.42,0.09,0.06,0.01,0.96,64.75,7,"=""1-3-4""",1750,6,不的中,不的中
松阪競輪,2R,21:00,2日目,ガ,"=""1-2""","=""1-2-3""",4,"=""3-2-4""",5,0.36,0.13,0.07,0.02,0.94,60.78,7,"=""6-1-4""",332250,128,不的中,不的中
別府競輪,2R,21:10,2日目,チ,"=""2-1""","=""2-1-3""",4,"=""4-3-1""",5,0.47,0.27,0.08,0.06,0.86,62.6,7,"=""1-4-3""",3160,10,不的中,不的中
松阪競輪,3R,21:20,2日目,Ａ,"=""1-3""","=""1-3-2""",4,"=""3-4-2""",5,0.49,0.34,0.26,0.14,0.71,57.6,7,"=""1-2-5""",1220,2,不的中,不的中
別府競輪,3R,21:30,2日目,チ,"=""1-3""","=""1-3-2""",6,"=""2-4-6""",3,0.46,0.2,0.17,0.11,0.77,59.84,7,"=""3-5-7""",8520,27,不的中,不的中
松阪競輪,4R,21:40,2日目,Ａ,"=""1-2""","=""1-2-6""",3,"=""4-3-6""",5,0.36,0.26,0.1,0.09,0.74,52.89,7,"=""3-2-1""",6850,13,不的中,不的中
別府競輪,4R,21:50,2日目,チ,"=""1-2""","=""1-2-3""",5,"=""3-4-5""",2,0.22,0.2,0.13,0.07,0.69,41.47,7,"=""3-2-1""",6070,15,不的中,不的中
松阪競輪,5R,22:00,2日目,Ａ,"=""1-2""","=""1-2-4""",6,"=""3-4-6""",2,0.34,0.24,0.14,0.09,0.75,51.77,7,"=""6-1-5""",21910,59,不的中,不的中
別府競輪,5R,22:10,2日目,Ａ,"=""2-1""","=""2-1-3""",4,"=""1-3-4""",5,0.44,0.18,0.16,0.1,0.77,57.58,7,"=""6-1-2""",7690,24,不的中,不的中
松阪競輪,6R,22:20,2日目,Ａ,"=""2-1""","=""2-1-4""",3,"=""4-1-3""",5,0.4,0.2,0.09,0.05,0.88,59.33,7,"=""1-7-6""",29840,83,不的中,不的中
別府競輪,6R,22:30,2日目,Ａ,"=""1-2""","=""1-2-3""",4,"=""3-5-4""",2,0.45,0.33,0.18,0.15,0.67,55.36,7,"=""1-4-5""",1300,2,不的中,不的中
松阪競輪,7R,22:40,2日目,Ａ,"=""1-2""","=""1-2-4""",5,"=""3-4-5""",2,0.34,0.27,0.27,0.13,0.62,45.0,7,"=""1-3-7""",32290,127,不的中,不的中
別府競輪,7R,22:50,2日目,Ａ,"=""1-2""","=""1-2-3""",4,"=""2-3-4""",7,0.4,0.22,0.13,0.1,0.74,54.64,7,"=""1-2-3""",1040,1,的中,的中
松阪競輪,8R,23:00,2日目,Ａ,"=""1-2""","=""1-2-5""",4,"=""4-2-3""",5,0.49,0.22,0.14,0.14,0.72,59.38,7,"=""2-1-3""",4130,14,的中,的中
別府競輪,8R,23:10,2日目,Ａ,"=""1-3""","=""1-3-4""",2,"=""2-3-4""",6,0.35,0.17,0.16,0.14,0.59,47.48,7,"=""1-4-3""",1020,2,不的中,不的中
松阪競輪,9R,23:20,2日目,Ａ,"=""1-3""","=""1-3-2""",4,"=""2-5-4""",3,0.29,0.14,0.14,0.08,0.74,49.37,7,"=""1-2-4""",1460,4,不的中,不的中
別府競輪,9R,23:30,2日目,Ａ,"=""5-3""","=""5-3-1""",2,"=""2-5-4""",3,0.32,0.22,0.22,0.17,0.48,41.53,7,"=""1-3-7""",880,2,不的中,不的中
