競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,A=B-abcd判定,A=B-CD判定,A-BCD-BCD判定,B-ACD-ACD判定,ABCD-ABCD-ABCD判定,ABCボックス判定,ABDボックス判定,C=B-AD判定,C=B-A判定,c=b-a判定
大垣競輪,2R,11:09,初日,Ａ,"=""3-1""","=""3-1-2""",5,"=""1-3-5""",2,0.88,0.83,0.74,0.73,0.58,0.56,0.52,,,0.18,53.87,7,"=""7-3-2""",74390,117,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,2R,11:17,2日目,Ａ,"=""3-1""","=""3-1-2""",7,"=""1-3-2""",7,0.87,0.77,0.72,0.67,0.64,0.58,0.55,,,0.22,54.02,7,"=""3-2-7""",3380,10,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
取手競輪,2R,11:25,最終日,チ,"=""1-4""","=""1-4-2""",5,"=""1-5-4""",3,0.92,0.83,0.77,0.77,0.64,0.59,,,,0.17,54.86,6,"=""3-4-1""",21710,76,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,3R,11:34,初日,Ａ,"=""4-1""","=""4-1-5""",2,"=""1-4-5""",3,0.85,0.81,0.68,0.64,0.59,0.58,0.55,,,0.24,53.9,7,"=""3-7-5""",5740,15,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,3R,11:43,2日目,Ａ,"=""4-2""","=""4-2-1""",3,"=""2-4-1""",3,0.9,0.81,0.73,0.65,0.59,0.58,0.56,,,0.28,58.01,7,"=""2-4-1""",2310,6,的中,的中,不的中,的中,的中,的中,不的中,不的中,不的中,不的中
取手競輪,3R,11:52,最終日,チ,"=""4-7""","=""4-7-1""",5,"=""3-4-5""",7,0.86,0.8,0.77,0.69,0.64,0.64,0.58,,,0.2,52.64,7,"=""4-3-7""",700,2,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,4R,12:01,初日,Ａ,"=""4-1""","=""4-1-5""",3,"=""4-1-5""",3,0.89,0.82,0.74,0.64,0.57,0.57,0.53,,,0.28,57.57,7,"=""4-1-7""",3170,8,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,4R,12:10,2日目,Ａ,"=""2-1""","=""2-1-7""",3,"=""1-7-2""",3,0.9,0.8,0.74,0.7,0.59,0.52,0.51,,,0.22,56.66,7,"=""2-7-5""",2300,7,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,4R,12:19,最終日,ガ,"=""4-7""","=""4-7-2""",3,"=""2-6-1""",4,0.63,0.62,0.58,0.56,0.55,0.51,0.5,,,0.12,37.36,7,"=""3-7-6""",11830,45,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,5R,12:28,初日,Ａ,"=""5-2""","=""5-2-7""",1,"=""5-7-2""",3,0.91,0.79,0.77,0.75,0.71,0.66,0.62,,,0.17,54.1,7,"=""6-1-5""",37680,95,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,5R,12:37,2日目,Ａ,"=""5-3""","=""5-3-1""",2,"=""3-5-1""",2,0.87,0.85,0.75,0.71,0.59,0.56,0.52,,,0.19,53.37,7,"=""2-6-5""",21080,42,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,5R,12:46,最終日,Ａ,"=""3-4""","=""3-4-2""",5,"=""3-4-5""",2,0.85,0.75,0.69,0.66,0.58,0.54,,,,0.22,52.64,6,"=""5-3-1""",1100,2,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,6R,12:56,初日,Ｓ,"=""2-5""","=""2-5-1""",7,"=""5-1-2""",3,0.85,0.77,0.75,0.71,0.57,0.55,0.5,,,0.16,51.4,7,"=""5-4-2""",2140,5,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,6R,13:06,2日目,Ｓ,"=""2-4""","=""2-4-1""",3,"=""4-7-2""",1,0.8,0.79,0.77,0.71,0.57,0.56,0.51,,,0.1,46.22,7,"=""2-6-5""",970,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,6R,13:16,最終日,Ａ,"=""3-5""","=""3-5-1""",2,"=""1-5-2""",4,0.81,0.73,0.67,0.6,0.6,0.57,0.57,,,0.26,52.09,7,"=""7-1-2""",46340,106,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,7R,13:26,初日,Ｓ,"=""4-1""","=""4-1-5""",7,"=""1-4-5""",7,0.87,0.78,0.75,0.7,0.57,0.55,0.5,,,0.2,53.97,7,"=""1-4-7""",370,1,的中,的中,不的中,的中,的中,不的中,的中,不的中,不的中,不的中
防府競輪,7R,13:36,2日目,Ｓ,"=""7-2""","=""7-2-1""",4,"=""7-4-1""",2,0.85,0.78,0.76,0.69,0.56,0.55,0.51,,,0.18,51.99,7,"=""3-2-4""",7780,18,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,7R,13:46,最終日,Ａ,"=""1-2""","=""1-2-3""",4,"=""2-1-3""",5,0.88,0.81,0.64,0.6,0.58,0.56,0.54,,,0.32,57.88,7,"=""1-4-2""",6830,21,不的中,不的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
大垣競輪,8R,13:56,初日,Ｓ,"=""5-2""","=""5-2-7""",3,"=""5-2-3""",7,0.86,0.79,0.76,0.68,0.55,0.54,0.53,,,0.21,53.71,7,"=""7-5-1""",7010,23,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,8R,14:06,2日目,Ｓ,"=""5-7""","=""5-7-2""",4,"=""7-5-1""",2,0.84,0.78,0.78,0.65,0.55,0.54,0.51,,,0.23,53.1,7,"=""7-3-2""",2490,5,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,8R,14:16,最終日,Ａ,"=""5-2""","=""5-2-4""",1,"=""2-5-4""",1,0.91,0.83,0.74,0.68,0.55,0.55,0.53,,,0.25,57.69,7,"=""4-2-3""",7840,26,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,的中,不的中
大垣競輪,9R,14:26,初日,Ｓ,"=""5-1""","=""5-1-2""",4,"=""5-1-4""",2,0.86,0.82,0.77,0.67,0.56,0.56,0.52,,,0.22,53.77,7,"=""1-5-2""",1070,4,的中,的中,不的中,的中,的中,的中,不的中,不的中,不的中,不的中
防府競輪,9R,14:36,2日目,Ｓ,"=""2-1""","=""2-1-7""",3,"=""1-2-3""",7,0.86,0.77,0.72,0.71,0.55,0.54,0.53,,,0.17,52.94,7,"=""7-1-3""",1650,6,不的中,不的中,不的中,不的中,的中,不的中,不的中,的中,的中,不的中
取手競輪,9R,14:46,最終日,チ,"=""1-5""","=""1-5-3""",7,"=""5-7-1""",4,0.8,0.79,0.77,0.72,0.66,0.6,0.56,,,0.11,45.93,7,"=""5-2-3""",360,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
大垣競輪,10R,14:56,初日,Ｓ,"=""1-4""","=""1-4-7""",2,"=""1-4-7""",3,0.86,0.8,0.77,0.69,0.57,0.55,0.54,,,0.2,53.2,7,"=""4-1-5""",1240,4,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,10R,15:06,2日目,Ｓ,"=""1-4""","=""1-4-7""",2,"=""7-1-2""",4,0.88,0.82,0.73,0.69,0.6,0.55,0.51,,,0.21,54.58,7,"=""7-2-4""",1430,2,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
取手競輪,10R,15:16,最終日,ガ,"=""1-7""","=""1-7-6""",2,"=""7-5-1""",4,0.67,0.61,0.58,0.57,0.56,0.54,0.5,,,0.15,41.06,7,"=""6-7-1""",390,1,不的中,不的中,不的中,不的中,的中,的中,不的中,的中,的中,不的中
大垣競輪,11R,15:28,初日,Ｓ,"=""3-5""","=""3-5-1""",4,"=""5-3-4""",1,0.86,0.82,0.76,0.71,0.6,0.56,0.51,,,0.18,52.84,7,"=""5-2-1""",4950,12,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,11R,15:39,2日目,Ｓ,"=""1-7""","=""1-7-2""",4,"=""7-1-4""",2,0.89,0.82,0.75,0.66,0.58,0.54,0.52,,,0.26,56.6,7,"=""7-2-1""",3130,8,不的中,不的中,不的中,的中,的中,的中,不的中,的中,不的中,不的中
取手競輪,11R,15:46,最終日,Ａ,"=""7-2""","=""7-2-1""",5,"=""7-2-3""",1,0.91,0.84,0.81,0.73,0.67,0.59,0.54,,,0.19,55.32,7,"=""7-1-5""",1770,3,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
函館競輪,1R,15:53,初日,Ａ,"=""7-2""","=""7-2-1""",4,"=""2-7-1""",4,0.88,0.81,0.73,0.68,0.58,0.57,0.57,,,0.23,54.97,7,"=""7-2-4""",2100,5,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
大垣競輪,12R,16:01,初日,Ｓ,"=""4-2""","=""4-2-7""",1,"=""4-3-2""",7,0.88,0.83,0.74,0.71,0.6,0.58,0.52,,,0.19,53.84,7,"=""5-2-4""",11180,36,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,1R,16:09,2日目,チ,"=""3-1""","=""3-1-4""",6,"=""1-3-4""",5,0.88,0.79,0.77,0.75,0.63,0.54,,,,0.14,51.67,6,"=""6-3-4""",510,2,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
函館競輪,2R,16:17,初日,Ａ,"=""2-3""","=""2-3-1""",7,"=""3-2-1""",7,0.89,0.8,0.73,0.68,0.59,0.58,0.53,,,0.24,56.16,7,"=""4-2-7""",39490,85,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,12R,16:24,2日目,Ｓ,"=""3-1""","=""3-1-2""",7,"=""1-3-7""",2,0.87,0.82,0.75,0.71,0.61,0.55,0.52,,,0.18,53.49,7,"=""1-4-6""",790,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,2R,16:31,2日目,チ,"=""1-4""","=""1-4-5""",3,"=""5-1-4""",2,0.88,0.8,0.75,0.67,0.64,0.52,,,,0.24,55.1,6,"=""3-1-6""",24760,69,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,3R,16:41,初日,Ａ,"=""3-4""","=""3-4-5""",2,"=""5-3-4""",2,0.9,0.81,0.74,0.62,0.61,0.59,0.56,,,0.31,58.47,7,"=""4-3-5""",1480,6,的中,的中,不的中,的中,的中,的中,不的中,不的中,不的中,的中
久留米競輪,3R,16:53,2日目,チ,"=""4-7""","=""4-7-1""",2,"=""7-1-2""",4,0.85,0.77,0.74,0.71,0.7,0.62,0.52,,,0.17,51.15,7,"=""3-1-7""",5920,20,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,4R,17:05,初日,Ａ,"=""2-7""","=""2-7-3""",4,"=""7-2-4""",3,0.89,0.82,0.74,0.66,0.64,0.62,0.56,,,0.26,56.06,7,"=""1-2-5""",20980,31,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,4R,17:17,2日目,チ,"=""2-4""","=""2-4-1""",5,"=""5-1-4""",3,0.86,0.84,0.72,0.7,0.69,0.56,0.51,,,0.19,52.41,7,"=""1-3-5""",1970,7,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,5R,17:29,初日,Ａ,"=""5-1""","=""5-1-7""",2,"=""7-5-1""",2,0.9,0.85,0.76,0.68,0.66,0.63,0.6,,,0.25,55.87,7,"=""5-7-1""",5480,12,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
久留米競輪,5R,17:41,2日目,ガ,"=""2-7""","=""2-7-6""",3,"=""7-5-1""",2,0.67,0.62,0.58,0.57,0.56,0.53,0.5,,,0.16,41.28,7,"=""2-1-7""",22240,35,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,6R,17:53,初日,Ｓ,"=""5-1""","=""5-1-2""",7,"=""2-5-7""",1,0.87,0.8,0.75,0.69,0.56,0.55,0.51,,,0.2,53.86,7,"=""7-1-5""",44310,115,不的中,不的中,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中
久留米競輪,6R,18:05,2日目,ガ,"=""4-5""","=""4-5-7""",3,"=""4-6-2""",1,0.67,0.62,0.58,0.57,0.56,0.5,0.5,,,0.16,41.46,7,"=""4-5-3""",1410,6,不的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
函館競輪,7R,18:17,初日,Ｓ,"=""1-7""","=""1-7-5""",2,"=""1-7-2""",5,0.85,0.8,0.77,0.69,0.57,0.55,0.5,,,0.19,52.04,7,"=""6-2-5""",48970,97,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,7R,18:29,2日目,Ａ,"=""2-4""","=""2-4-1""",5,"=""4-5-1""",2,0.84,0.72,0.66,0.61,0.59,0.55,0.54,,,0.27,54.75,7,"=""4-1-3""",530,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,8R,18:42,初日,Ｓ,"=""3-5""","=""3-5-2""",7,"=""5-7-3""",1,0.85,0.8,0.79,0.71,0.57,0.57,0.5,,,0.16,51.02,7,"=""5-4-2""",10460,29,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,8R,18:55,2日目,Ａ,"=""2-1""","=""2-1-7""",4,"=""7-2-1""",3,0.84,0.74,0.72,0.62,0.59,0.57,0.55,,,0.26,53.65,7,"=""7-5-1""",2360,6,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,9R,19:08,初日,Ｓ,"=""1-4""","=""1-4-7""",3,"=""1-4-3""",7,0.86,0.8,0.77,0.68,0.56,0.55,0.5,,,0.21,53.62,7,"=""1-4-2""",2020,5,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,9R,19:21,2日目,Ａ,"=""4-7""","=""4-7-2""",5,"=""2-4-5""",7,0.87,0.81,0.76,0.76,0.63,0.6,0.59,,,0.13,51.27,7,"=""5-1-4""",2930,2,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,10R,19:34,初日,Ｓ,"=""2-7""","=""2-7-4""",1,"=""7-2-5""",4,0.86,0.77,0.76,0.71,0.57,0.56,0.5,,,0.17,52.49,7,"=""7-4-1""",590,1,不的中,不的中,不的中,的中,的中,不的中,不的中,的中,不的中,不的中
久留米競輪,10R,19:47,2日目,Ａ,"=""1-7""","=""1-7-3""",5,"=""7-1-5""",3,0.87,0.82,0.77,0.69,0.56,0.55,0.54,,,0.21,53.84,7,"=""4-3-5""",2350,5,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
函館競輪,11R,20:01,初日,Ｓ,"=""5-4""","=""5-4-7""",1,"=""5-7-3""",4,0.86,0.82,0.77,0.68,0.55,0.55,0.51,,,0.21,53.92,7,"=""5-1-7""",260,1,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
久留米競輪,11R,20:15,2日目,Ａ,"=""2-1""","=""2-1-5""",3,"=""1-2-5""",3,0.88,0.86,0.77,0.64,0.58,0.57,0.56,,,0.27,56.41,7,"=""5-1-7""",300,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,的中,不的中
函館競輪,12R,20:30,初日,Ｓ,"=""2-1""","=""2-1-5""",4,"=""1-2-4""",5,0.89,0.84,0.76,0.71,0.54,0.53,0.52,,,0.21,55.5,7,"=""5-2-4""",7720,24,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
弥彦競輪,1R,20:40,2日目,チ,"=""3-1""","=""3-1-4""",5,"=""1-2-3""",4,0.85,0.79,0.73,0.72,0.64,0.58,0.58,,,0.15,50.47,7,"=""3-4-2""",3430,10,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,1R,20:50,2日目,ガ,"=""1-2""","=""1-2-3""",4,"=""1-7-6""",2,0.67,0.62,0.58,0.57,0.55,0.52,0.51,,,0.16,41.4,7,"=""1-3-2""",440,2,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
弥彦競輪,2R,21:00,2日目,チ,"=""2-1""","=""2-1-5""",3,"=""7-1-2""",4,0.83,0.82,0.8,0.76,0.71,0.62,0.58,,,0.09,47.0,7,"=""5-4-6""",1430,2,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,2R,21:10,2日目,ガ,"=""1-2""","=""1-2-3""",4,"=""1-7-6""",2,0.67,0.61,0.58,0.57,0.56,0.53,0.51,,,0.16,41.37,7,"=""1-3-2""",610,2,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
弥彦競輪,3R,21:20,2日目,チ,"=""1-2""","=""1-2-4""",5,"=""1-2-3""",4,0.93,0.78,0.78,0.76,0.66,0.59,0.52,,,0.18,56.48,7,"=""5-4-2""",1860,3,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,3R,21:30,2日目,Ａ,"=""2-1""","=""2-1-5""",3,"=""1-2-3""",4,0.83,0.74,0.72,0.68,0.64,,,,,0.18,49.05,5,"=""1-2-3""",930,2,的中,的中,不的中,的中,的中,不的中,的中,不的中,不的中,不的中
弥彦競輪,4R,21:40,2日目,チ,"=""1-2""","=""1-2-4""",5,"=""1-4-2""",3,0.94,0.82,0.81,0.72,0.72,0.61,0.57,,,0.23,57.77,7,"=""1-4-6""",2080,4,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,4R,21:50,2日目,Ａ,"=""2-1""","=""2-1-3""",5,"=""1-2-3""",4,0.87,0.8,0.73,0.68,0.58,,,,,0.21,52.43,5,"=""2-3-1""",730,2,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,的中
弥彦競輪,5R,22:00,2日目,Ａ,"=""2-3""","=""2-3-1""",4,"=""1-2-3""",4,0.88,0.78,0.71,0.68,0.57,0.57,0.55,,,0.23,55.6,7,"=""2-4-1""",1460,3,不的中,不的中,的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,5R,22:10,2日目,Ａ,"=""1-3""","=""1-3-4""",6,"=""1-2-6""",3,0.83,0.7,0.6,0.59,0.56,0.56,0.55,,,0.29,54.57,7,"=""6-2-3""",6900,19,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
弥彦競輪,6R,22:20,2日目,Ａ,"=""2-1""","=""2-1-5""",3,"=""1-2-3""",4,0.89,0.79,0.71,0.64,0.6,0.56,0.54,,,0.28,57.19,7,"=""1-2-7""",7510,19,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,6R,22:30,2日目,Ａ,"=""1-2""","=""1-2-3""",4,"=""1-2-3""",4,0.83,0.73,0.7,0.67,0.54,0.53,0.53,,,0.19,51.7,7,"=""3-4-7""",28600,102,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
弥彦競輪,7R,22:40,2日目,Ａ,"=""2-3""","=""2-3-1""",4,"=""1-2-3""",4,0.9,0.82,0.76,0.72,0.56,0.55,0.54,,,0.2,55.73,7,"=""1-4-2""",2210,5,不的中,不的中,不的中,不的中,的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,7R,22:50,2日目,Ａ,"=""1-2""","=""1-2-3""",4,"=""1-2-3""",4,0.88,0.83,0.77,0.7,0.59,0.57,0.52,,,0.21,54.7,7,"=""1-2-4""",3850,11,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
弥彦競輪,8R,23:00,2日目,Ａ,"=""2-1""","=""2-1-4""",3,"=""1-2-3""",4,0.9,0.84,0.78,0.73,0.57,0.54,0.53,,,0.19,55.64,7,"=""2-5-1""",9730,22,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,8R,23:10,2日目,Ａ,"=""2-1""","=""2-1-4""",5,"=""1-2-3""",4,0.9,0.86,0.8,0.71,0.67,0.53,0.5,,,0.21,55.84,7,"=""1-5-7""",12780,46,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
弥彦競輪,9R,23:20,2日目,Ａ,"=""1-2""","=""1-2-3""",5,"=""1-2-3""",4,0.91,0.84,0.77,0.7,0.62,0.55,0.55,,,0.24,57.24,7,"=""4-2-3""",164090,128,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
玉野競輪,9R,23:30,2日目,Ａ,"=""2-1""","=""2-1-3""",4,"=""1-2-3""",4,0.9,0.84,0.78,0.72,0.57,0.53,0.53,,,0.2,55.77,7,,,,,,,,,,,,,
