競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_ボックス判定,3着以内モデル_A-BCD流し判定,3着以内モデル_ボックス判定
岸和田競輪,5R,12:50,2日目,Ａ,"=""2-5""","=""2-5-1""","=""7-3-4-6""","=""2-5-7""","=""3-1-4-6""",0.94,0.93,0.89,0.84,0.83,0.76,0.59,,,0.1,52.31,7,"=""1-3-2""",55900,85,不的中,不的中,不的中,不的中
富山競輪,6R,13:04,初日,Ｓ,"=""2-4""","=""2-4-3""","=""1-7-5-6""","=""2-3-5""","=""7-1-4-6""",0.88,0.79,0.78,0.77,0.76,0.75,0.62,,,0.13,50.35,7,"=""4-2-1""",1990,7,不的中,的中,不的中,不的中
岸和田競輪,6R,13:18,2日目,ガ,"=""3-6""","=""3-6-4""","=""7-1-2-5""","=""3-4-6""","=""7-1-2-5""",0.98,0.98,0.94,0.9,0.7,0.68,0.61,,,0.08,55.24,7,"=""3-6-4""",160,1,的中,的中,的中,的中
富山競輪,7R,13:32,初日,Ｓ,"=""3-4""","=""3-4-1""","=""2-5-7-6""","=""2-4-5""","=""3-1-7-6""",0.86,0.83,0.79,0.79,0.78,0.76,0.59,,,0.08,47.79,7,"=""4-3-5""",4320,10,不的中,不的中,不的中,的中
岸和田競輪,7R,13:46,2日目,ガ,"=""4-5""","=""4-5-6""","=""2-7-3-1""","=""4-6-5""","=""2-7-3-1""",0.98,0.98,0.95,0.89,0.8,0.65,0.59,,,0.09,55.19,7,"=""4-5-6""",170,1,的中,的中,的中,的中
富山競輪,8R,14:00,初日,Ｓ,"=""7-3""","=""7-3-2""","=""1-4-5-6""","=""1-3-4""","=""5-2-7-6""",0.86,0.86,0.78,0.78,0.76,0.76,0.56,,,0.1,48.39,7,"=""4-7-3""",3810,12,不的中,不的中,不的中,不的中
岸和田競輪,8R,14:14,2日目,Ｓ,"=""2-5""","=""2-5-7""","=""1-4-3-6""","=""2-5-3""","=""1-7-4-6""",0.83,0.8,0.8,0.79,0.74,0.73,0.56,,,0.06,45.4,7,"=""5-6-1""",1450,4,不的中,不的中,不的中,不的中
富山競輪,9R,14:28,初日,Ｓ,"=""4-1""","=""4-1-2""","=""7-5-3-6""","=""3-2-4""","=""7-5-1-6""",0.85,0.84,0.81,0.76,0.76,0.72,0.56,,,0.1,47.67,7,"=""1-5-2""",20180,47,不的中,不的中,不的中,不的中
岸和田競輪,9R,14:42,2日目,Ｓ,"=""2-5""","=""2-5-4""","=""3-1-7-6""","=""5-7-4""","=""2-1-3-6""",0.88,0.81,0.78,0.77,0.74,0.69,0.57,,,0.12,50.52,7,"=""2-5-4""",1710,3,的中,的中,不的中,的中
富山競輪,10R,14:56,初日,Ｓ,"=""5-1""","=""5-1-4""","=""2-3-7-6""","=""4-2-5""","=""1-3-7-6""",0.84,0.81,0.8,0.79,0.78,0.75,0.57,,,0.07,46.34,7,"=""2-5-4""",2580,8,不的中,的中,不的中,的中
岸和田競輪,10R,15:10,2日目,Ｓ,"=""7-3""","=""7-3-1""","=""4-5-2-6""","=""4-1-7""","=""3-2-5-6""",0.87,0.83,0.81,0.78,0.75,0.71,0.57,,,0.1,49.22,7,"=""1-7-4""",1160,1,不的中,的中,不的中,的中
富山競輪,11R,15:25,初日,Ｓ,"=""5-1""","=""5-1-4""","=""2-3-7-6""","=""5-2-4""","=""1-7-3-6""",0.86,0.86,0.77,0.75,0.75,0.68,0.57,,,0.13,49.6,7,"=""5-1-6""",1670,5,不的中,不的中,不的中,不的中
岸和田競輪,11R,15:40,2日目,Ｓ,"=""4-1""","=""4-1-5""","=""2-7-3-6""","=""5-4-1""","=""2-3-7-6""",0.87,0.84,0.84,0.73,0.69,0.68,0.56,,,0.17,51.28,7,"=""2-1-5""",740,1,不的中,的中,不的中,的中
松阪競輪,1R,15:50,初日,チ,"=""7-2""","=""7-2-1""","=""5-4-3-6""","=""2-7-4""","=""1-3-5-6""",0.96,0.96,0.9,0.87,0.79,0.73,0.51,,,0.09,53.99,7,"=""2-5-1""",9440,32,不的中,的中,不的中,不的中
富山競輪,12R,15:57,初日,Ｓ,"=""7-3""","=""7-3-1""","=""2-5-4-6""","=""2-7-1""","=""3-4-5-6""",0.87,0.8,0.8,0.79,0.75,0.72,0.52,,,0.1,49.36,7,"=""2-7-1""",7760,28,不的中,的中,的中,的中
岸和田競輪,12R,16:10,2日目,Ｓ,"=""3-5""","=""3-5-1""","=""7-4-2-6""","=""3-5-1""","=""7-2-4-6""",0.86,0.84,0.81,0.76,0.72,0.64,0.55,,,0.11,49.11,7,"=""7-3-2""",450,2,不的中,不的中,不的中,不的中
松阪競輪,2R,16:17,初日,チ,"=""2-7""","=""2-7-1""","=""4-5-3-6""","=""7-2-1""","=""5-4-3-6""",0.96,0.95,0.91,0.82,0.79,0.79,0.59,,,0.15,54.73,7,"=""4-7-5""",1870,5,不的中,不的中,不的中,不的中
松阪競輪,3R,16:44,初日,チ,"=""3-1""","=""3-1-4""","=""2-7-5-6""","=""3-1-4""","=""2-7-5-6""",0.94,0.93,0.92,0.76,0.7,0.62,0.56,,,0.19,55.98,7,"=""4-3-1""",5150,19,不的中,的中,不的中,的中
松阪競輪,4R,17:12,初日,チ,"=""5-7""","=""5-7-4""","=""2-3-1-6""","=""4-5-7""","=""1-2-3-6""",0.95,0.93,0.91,0.86,0.82,0.79,0.62,,,0.09,53.0,7,"=""5-2-7""",700,2,的中,的中,不的中,不的中
松阪競輪,5R,17:40,初日,ガ,"=""5-1""","=""5-1-4""","=""7-3-2-6""","=""4-5-1""","=""7-3-2-6""",0.98,0.96,0.95,0.91,0.81,0.67,0.59,,,0.07,54.2,7,"=""1-4-5""",610,3,不的中,的中,不的中,的中
松阪競輪,6R,18:08,初日,ガ,"=""3-7""","=""3-7-4""","=""2-1-6-5""","=""4-3-7""","=""2-1-6-5""",0.98,0.96,0.95,0.92,0.81,0.67,0.56,,,0.06,54.28,7,"=""7-4-3""",1180,3,不的中,的中,不的中,的中
松阪競輪,7R,18:36,初日,Ａ,"=""5-2""","=""5-2-4""","=""3-1-7-6""","=""2-4-5""","=""3-1-6-7""",0.95,0.91,0.9,0.83,0.81,0.68,0.61,,,0.13,54.53,7,"=""1-2-4""",9410,28,不的中,不的中,不的中,不的中
松阪競輪,8R,19:04,初日,Ａ,"=""3-7""","=""3-7-1""","=""4-5-2-6""","=""3-6-7""","=""4-1-5-2""",0.95,0.93,0.9,0.89,0.86,0.73,0.65,,,0.07,52.12,7,"=""6-3-1""",7170,32,不的中,不的中,不的中,不的中
松阪競輪,9R,19:32,初日,Ａ,"=""7-3""","=""7-3-2""","=""1-5-6-4""","=""3-7-6""","=""2-1-5-4""",0.94,0.93,0.93,0.91,0.87,0.82,0.67,,,0.03,49.69,7,"=""3-6-7""",2820,9,不的中,不的中,的中,的中
松阪競輪,10R,20:01,初日,Ａ,"=""4-5""","=""4-5-2""","=""1-7-3-6""","=""1-4-5""","=""2-7-6-3""",0.95,0.94,0.93,0.92,0.78,0.66,0.6,,,0.03,51.89,7,"=""1-5-7""",350,1,不的中,不的中,不的中,不的中
松阪競輪,11R,20:30,初日,Ａ,"=""5-4""","=""5-4-7""","=""2-1-3-6""","=""4-6-5""","=""3-7-2-1""",0.92,0.8,0.79,0.79,0.79,0.77,0.76,,,0.14,52.85,7,"=""5-1-3""",45300,119,不的中,不的中,不的中,不的中
豊橋競輪,1R,20:40,最終日,チ,"=""2-1""","=""2-1-3""","=""4-5-7-6""","=""1-2-5""","=""7-4-3-6""",0.94,0.9,0.83,0.83,0.79,0.68,0.63,,,0.12,53.66,7,"=""2-3-4""",16920,33,的中,的中,不的中,不的中
京王閣競輪,1R,20:50,最終日,チ,"=""2-1""","=""2-1-4""","=""3-5-7-6""","=""1-2-3""","=""4-5-7-6""",0.95,0.94,0.92,0.91,0.9,0.75,0.57,,,0.04,50.87,7,"=""2-4-6""",3690,9,不的中,不的中,不的中,不的中
豊橋競輪,2R,21:00,最終日,チ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""3-1-2""","=""4-5-6-7""",0.96,0.95,0.92,0.89,0.67,0.67,0.65,,,0.08,53.71,7,"=""2-5-6""",5460,16,不的中,不的中,不的中,不的中
京王閣競輪,2R,21:10,最終日,チ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""5-6-4-7""",0.95,0.95,0.91,0.84,0.83,0.81,0.73,,,0.12,53.05,7,"=""1-7-6""",11170,46,不的中,不的中,不的中,不的中
豊橋競輪,3R,21:20,最終日,チ,"=""2-1""","=""2-1-4""","=""3-5-6-7""","=""1-3-2""","=""5-4-6-7""",0.96,0.94,0.94,0.9,0.78,0.64,0.5,,,0.06,53.44,7,"=""1-2-6""",990,2,不的中,不的中,不的中,不的中
京王閣競輪,3R,21:30,最終日,チ,"=""2-1""","=""2-1-4""","=""5-3-6-7""","=""2-1-3""","=""4-5-6-7""",0.94,0.94,0.94,0.84,0.75,0.69,0.59,,,0.11,53.48,7,"=""1-4-5""",13450,34,不的中,的中,不的中,不的中
豊橋競輪,4R,21:40,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""1-6-3""","=""2-4-5-7""",0.92,0.88,0.88,0.84,0.72,0.72,0.7,,,0.09,51.7,7,"=""3-5-1""",58840,100,不的中,不的中,不的中,不的中
京王閣競輪,4R,21:50,最終日,Ａ,"=""1-2""","=""1-2-4""","=""3-5-7-6""","=""1-2-4""","=""3-5-6-7""",0.93,0.9,0.87,0.85,0.79,0.71,0.67,,,0.09,51.62,7,"=""4-2-1""",4610,11,不的中,的中,不的中,的中
豊橋競輪,5R,22:00,最終日,Ａ,"=""1-3""","=""1-3-4""","=""5-2-6-7""","=""1-2-5""","=""4-3-6-7""",0.92,0.92,0.87,0.87,0.85,0.66,0.66,,,0.06,50.22,7,"=""1-6-3""",510,1,不的中,不的中,不的中,不的中
京王閣競輪,5R,22:10,最終日,Ａ,"=""1-2""","=""1-2-3""","=""4-5-6-7""","=""3-2-4""","=""5-1-7-6""",0.93,0.89,0.87,0.86,0.84,0.76,0.53,,,0.07,51.42,7,"=""3-4-1""",1430,4,不的中,的中,不的中,不的中
豊橋競輪,6R,22:20,最終日,Ａ,"=""1-3""","=""1-3-2""","=""5-4-6-7""","=""1-3-4""","=""5-2-6-7""",0.93,0.91,0.91,0.88,0.82,0.81,0.77,,,0.06,49.64,7,"=""1-6-5""",10950,40,不的中,不的中,不的中,不的中
京王閣競輪,6R,22:30,最終日,Ａ,"=""2-1""","=""2-1-4""","=""5-3-6-7""","=""7-1-2""","=""3-5-4-6""",0.95,0.93,0.93,0.88,0.86,0.85,0.65,,,0.07,51.77,7,"=""1-2-7""",11790,32,不的中,不的中,不的中,的中
豊橋競輪,7R,22:40,最終日,Ａ,"=""1-2""","=""1-2-4""","=""5-3-6-7""","=""7-4-3""","=""1-6-5-2""",0.95,0.89,0.88,0.88,0.81,0.8,0.75,,,0.08,52.39,7,"=""4-1-3""",4410,10,不的中,不的中,不的中,的中
京王閣競輪,7R,22:50,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-7-6""","=""2-3-1""","=""4-5-6-7""",0.94,0.9,0.89,0.87,0.86,0.79,0.75,,,0.07,50.79,7,"=""2-1-6""",1610,3,不的中,不的中,不的中,不的中
豊橋競輪,8R,23:00,最終日,チ,"=""1-2""","=""1-2-3""","=""5-4-6-7""","=""1-2-4""","=""3-5-6-7""",0.95,0.91,0.9,0.9,0.84,0.67,0.66,,,0.06,52.1,7,"=""1-4-3""",5240,15,不的中,不的中,的中,的中
京王閣競輪,8R,23:10,最終日,チ,"=""1-4""","=""1-4-3""","=""2-5-6-7""","=""3-1-2""","=""4-5-7-6""",0.95,0.95,0.93,0.75,0.74,0.6,0.59,,,0.21,56.93,7,"=""4-5-2""",17250,49,不的中,不的中,不的中,不的中
豊橋競輪,9R,23:20,最終日,Ａ,"=""2-1""","=""2-1-3""","=""5-4-6-7""","=""2-1-4""","=""3-5-6-7""",0.93,0.92,0.88,0.87,0.86,0.81,0.79,,,0.06,49.39,7,"=""1-2-4""",4390,16,不的中,不的中,不的中,的中
京王閣競輪,9R,23:30,最終日,Ａ,"=""2-1""","=""2-1-3""","=""4-5-6-7""","=""2-1-3""","=""5-6-7-4""",0.93,0.9,0.9,0.84,0.83,0.81,0.7,,,0.1,51.2,7,"=""1-2-5""",1790,1,不的中,不的中,不的中,的中
